"","optimal_launch_pfn","satellites","debris","p","F","L(satellites, debris)","G(satellites, debris)","satellites:debris","satellites:p","satellites:F","satellites:L(satellites, debris)","satellites:G(satellites, debris)","debris:p","debris:F","debris:L(satellites, debris)","debris:G(satellites, debris)","p:F","p:L(satellites, debris)","p:G(satellites, debris)","F:L(satellites, debris)","F:G(satellites, debris)","L(satellites, debris):G(satellites, debris)","satellites:debris:p","satellites:debris:F","satellites:debris:L(satellites, debris)","satellites:debris:G(satellites, debris)","satellites:p:F","satellites:p:L(satellites, debris)","satellites:p:G(satellites, debris)","satellites:F:L(satellites, debris)","satellites:F:G(satellites, debris)","satellites:L(satellites, debris):G(satellites, debris)","debris:p:F","debris:p:L(satellites, debris)","debris:p:G(satellites, debris)","debris:F:L(satellites, debris)","debris:F:G(satellites, debris)","debris:L(satellites, debris):G(satellites, debris)","p:F:L(satellites, debris)","p:F:G(satellites, debris)","p:L(satellites, debris):G(satellites, debris)","F:L(satellites, debris):G(satellites, debris)","satellites:debris:p:F","satellites:debris:p:L(satellites, debris)","satellites:debris:p:G(satellites, debris)","satellites:debris:F:L(satellites, debris)","satellites:debris:F:G(satellites, debris)","satellites:debris:L(satellites, debris):G(satellites, debris)","satellites:p:F:L(satellites, debris)","satellites:p:F:G(satellites, debris)","satellites:p:L(satellites, debris):G(satellites, debris)","satellites:F:L(satellites, debris):G(satellites, debris)","debris:p:F:L(satellites, debris)","debris:p:F:G(satellites, debris)","debris:p:L(satellites, debris):G(satellites, debris)","debris:F:L(satellites, debris):G(satellites, debris)","p:F:L(satellites, debris):G(satellites, debris)","satellites:debris:p:F:L(satellites, debris)","satellites:debris:p:F:G(satellites, debris)","satellites:debris:p:L(satellites, debris):G(satellites, debris)","satellites:debris:F:L(satellites, debris):G(satellites, debris)","satellites:p:F:L(satellites, debris):G(satellites, debris)","debris:p:F:L(satellites, debris):G(satellites, debris)","satellites:debris:p:F:L(satellites, debris):G(satellites, debris)"
"12",699.47434139443,10000,0,1,5,0.0535457555514223,180138.99297578,0,10000,50000,535.457555514223,1801389929.7578,0,0,0,0,5,0.0535457555514223,180138.99297578,0.267728777757112,900694.9648789,9645.67848316051,0,0,0,0,50000,535.457555514223,1801389929.7578,2677.28777757112,9006949648.789,96456784.8316051,0,0,0,0,0,0,0.267728777757112,900694.9648789,9645.67848316051,48228.3924158025,0,0,0,0,0,0,2677.28777757112,9006949648.789,96456784.8316051,482283924.158025,0,0,0,0,48228.3924158025,0,0,0,0,482283924.158025,0,0
"13",10000,0,909.090909090909,1,5,9.57676036660614e-05,17.3160089130288,0,0,0,0,0,909.090909090909,4545.45454545455,0.0870614578782376,15741.8262845717,5,9.57676036660614e-05,17.3160089130288,0.000478838018330307,86.5800445651442,0.00165831267866093,0,0,0,0,0,0,0,0,0,0,4545.45454545455,0.0870614578782376,15741.8262845717,0.435307289391188,78709.1314228584,1.50755698060085,0.000478838018330307,86.5800445651442,0.00165831267866093,0.00829156339330466,0,0,0,0,0,0,0,0,0,0,0.435307289391188,78709.1314228584,1.50755698060085,7.53778490300424,0.00829156339330466,0,0,0,0,0,7.53778490300424,0
"14",9107.85416306122,909.090909090909,909.090909090909,1,5,0.00133346194591502,298.785666048421,826446.280991736,909.090909090909,4545.45454545455,1.21223813265002,271623.332771292,909.090909090909,4545.45454545455,1.21223813265002,271623.332771292,5,0.00133346194591502,298.785666048421,0.00666730972957511,1493.92833024211,0.398419315660444,826446.280991736,4132231.40495868,1102.03466604547,246930302.519356,4545.45454545455,1.21223813265002,271623.332771292,6.0611906632501,1358116.66385646,362.199377873131,4545.45454545455,1.21223813265002,271623.332771292,6.0611906632501,1358116.66385646,362.199377873131,0.00666730972957511,1493.92833024211,0.398419315660444,1.99209657830222,4132231.40495868,1102.03466604547,246930302.519356,5510.17333022737,1234651512.59678,329272.161702846,6.0611906632501,1358116.66385646,362.199377873131,1810.99688936565,6.0611906632501,1358116.66385646,362.199377873131,1810.99688936565,1.99209657830222,5510.17333022737,1234651512.59678,329272.161702846,1646360.80851423,1810.99688936565,1810.99688936565,1646360.80851423
"15",8219.23791754774,1818.18181818182,909.090909090909,1,5,0.00330887323766028,1623.22412484389,1652892.56198347,1818.18181818182,9090.90909090909,6.01613315938233,2951316.59062525,909.090909090909,4545.45454545455,3.00806657969117,1475658.29531262,5,0.00330887323766028,1623.22412484389,0.0165443661883014,8116.12062421944,5.37104286542047,1652892.56198347,8264462.80991736,5469.21196307485,2683015082.38659,9090.90909090909,6.01613315938233,2951316.59062525,30.0806657969117,14756582.9531262,9765.53248258268,4545.45454545455,3.00806657969117,1475658.29531262,15.0403328984558,7378291.47656312,4882.76624129134,0.0165443661883014,8116.12062421944,5.37104286542047,26.8552143271024,8264462.80991736,5469.21196307485,2683015082.38659,27346.0598153742,13415075411.933,8877756.80234789,30.0806657969117,14756582.9531262,9765.53248258268,48827.6624129134,15.0403328984558,7378291.47656312,4882.76624129134,24413.8312064567,26.8552143271024,27346.0598153742,13415075411.933,8877756.80234789,44388784.0117394,48827.6624129134,24413.8312064567,44388784.0117394
"16",7336.12900674783,2727.27272727273,909.090909090909,1,5,0.00602200147890184,4686.64522252025,2479338.84297521,2727.27272727273,13636.3636363636,16.423640397005,12781759.6977825,909.090909090909,4545.45454545455,5.47454679900168,4260586.5659275,5,0.00602200147890184,4686.64522252025,0.0301100073945092,23433.2261126013,28.2229844611052,2479338.84297521,12396694.214876,14930.5821790955,11619781543.4386,13636.3636363636,16.423640397005,12781759.6977825,82.1182019850252,63908798.4889125,76971.7758030143,4545.45454545455,5.47454679900168,4260586.5659275,27.3727339950084,21302932.8296375,25657.2586010047,0.0301100073945092,23433.2261126013,28.2229844611052,141.114922305526,12396694.214876,14930.5821790955,11619781543.4386,74652.9108954774,58098907717.1932,69974341.6391039,82.1182019850252,63908798.4889125,76971.7758030143,384858.879015071,27.3727339950084,21302932.8296375,25657.2586010047,128286.293005024,141.114922305526,74652.9108954774,58098907717.1932,69974341.6391039,349871708.195519,384858.879015071,128286.293005024,349871708.195519
"17",6460.50293682274,3636.36363636364,909.090909090909,1,5,0.0094728466696397,10169.7424212738,3305785.12396694,3636.36363636364,18181.8181818182,34.4467151623262,36980881.5319047,909.090909090909,4545.45454545455,8.61167879058155,9245220.38297617,5,0.0094728466696397,10169.7424212738,0.0473642333481985,50848.7121063689,96.336410626457,3305785.12396694,16528925.6198347,31315.1956021147,33618983210.8224,18181.8181818182,34.4467151623262,36980881.5319047,172.233575811631,184904407.659523,350314.220459844,4545.45454545455,8.61167879058155,9245220.38297617,43.0583939529077,46226101.9148809,87578.5551149609,0.0473642333481985,50848.7121063689,96.336410626457,481.682053132285,16528925.6198347,31315.1956021147,33618983210.8224,156575.978010574,168094916054.112,318467473.145312,172.233575811631,184904407.659523,350314.220459844,1751571.10229922,43.0583939529077,46226101.9148809,87578.5551149609,437892.775574805,481.682053132285,156575.978010574,168094916054.112,318467473.145312,1592337365.72656,1751571.10229922,437892.775574805,1592337365.72656
"18",5594.33785274323,4545.45454545455,909.090909090909,1,5,0.0136614088098739,18750.6557874633,4132231.40495868,4545.45454545455,22727.2727272727,62.0973127721539,85230253.5793788,909.090909090909,4545.45454545455,12.4194625544308,17046050.7158758,5,0.0136614088098739,18750.6557874633,0.0683070440493693,93753.2789373167,256.160374165764,4132231.40495868,20661157.0247934,56452.1025201399,77482048708.5262,22727.2727272727,62.0973127721539,85230253.5793788,310.48656386077,426151267.896894,1164365.33711711,4545.45454545455,12.4194625544308,17046050.7158758,62.0973127721539,85230253.5793788,232873.067423422,0.0683070440493693,93753.2789373167,256.160374165764,1280.80187082882,20661157.0247934,56452.1025201399,77482048708.5262,282260.5126007,387410243542.631,1058513942.83374,310.48656386077,426151267.896894,1164365.33711711,5821826.68558554,62.0973127721539,85230253.5793788,232873.067423422,1164365.33711711,1280.80187082882,282260.5126007,387410243542.631,1058513942.83374,5292569714.16868,5821826.68558554,1164365.33711711,5292569714.16868
"19",4739.6094669812,5454.54545454545,909.090909090909,1,5,0.0185876878996043,31106.7958457799,4958677.68595041,5454.54545454545,27272.7272727273,101.387388543296,169673431.886072,909.090909090909,4545.45454545455,16.8978980905494,28278905.3143454,5,0.0185876878996043,31106.7958457799,0.0929384394980216,155533.9792289,578.203412738065,4958677.68595041,24793388.4297521,92170.3532211784,154248574441.884,27272.7272727273,101.387388543296,169673431.886072,506.936942716481,848367159.430361,3153836.79675308,4545.45454545455,16.8978980905494,28278905.3143454,84.4894904527469,141394526.571727,525639.466125514,0.0929384394980216,155533.9792289,578.203412738065,2891.01706369033,24793388.4297521,92170.3532211784,154248574441.884,460851.766105892,771242872209.419,2867124360.68462,506.936942716481,848367159.430361,3153836.79675308,15769183.9837654,84.4894904527469,141394526.571727,525639.466125514,2628197.33062757,2891.01706369033,460851.766105892,771242872209.419,2867124360.68462,14335621803.4231,15769183.9837654,2628197.33062757,14335621803.4231
"20",3898.29685440236,6363.63636363636,909.090909090909,1,5,0.0242516839388311,47915.2995427891,5785123.96694215,6363.63636363636,31818.1818181818,154.328897792561,304915542.545021,909.090909090909,4545.45454545455,22.0469853989373,43559363.2207173,5,0.0242516839388311,47915.2995427891,0.121258419694155,239576.497713945,1162.02670034614,5785123.96694215,28925619.8347107,140298.997993238,277195947768.201,31818.1818181818,154.328897792561,304915542.545021,771.644488962807,1524577712.72511,7394715.36583906,4545.45454545455,22.0469853989373,43559363.2207173,110.234926994687,217796816.103587,1056387.90940558,0.121258419694155,239576.497713945,1162.02670034614,5810.13350173069,28925619.8347107,140298.997993238,277195947768.201,701494.989966188,1385979738841.01,6722468514.39914,771.644488962807,1524577712.72511,7394715.36583906,36973576.8291953,110.234926994687,217796816.103587,1056387.90940558,5281939.5470279,5810.13350173069,701494.989966188,1385979738841.01,6722468514.39914,33612342571.9957,36973576.8291953,5281939.5470279,33612342571.9957
"21",3072.37620525619,7272.72727272727,909.090909090909,1,5,0.0306533969275541,69853.1822347784,6611570.24793389,7272.72727272727,36363.6363636364,222.933795836757,508023143.525661,909.090909090909,4545.45454545455,27.8667244795947,63502892.9407076,5,0.0306533969275541,69853.1822347784,0.153266984637771,349265.911173892,2141.23732169543,6611570.24793389,33057851.2396694,202667.087124325,461839221386.965,36363.6363636364,222.933795836757,508023143.525661,1114.66897918379,2540115717.62831,15572635.0668759,4545.45454545455,27.8667244795947,63502892.9407076,139.333622397973,317514464.703538,1946579.38335949,0.153266984637771,349265.911173892,2141.23732169543,10706.1866084772,33057851.2396694,202667.087124325,461839221386.965,1013335.43562162,2309196106934.82,14156940969.8872,1114.66897918379,2540115717.62831,15572635.0668759,77863175.3343794,139.333622397973,317514464.703538,1946579.38335949,9732896.91679743,10706.1866084772,1013335.43562162,2309196106934.82,14156940969.8872,70784704849.4359,77863175.3343794,9732896.91679743,70784704849.4359
"22",2263.82457700611,8181.81818181818,909.090909090909,1,5,0.0377928268657735,97597.3984828965,7438016.52892562,8181.81818181818,40909.0909090909,309.214037992692,798524169.405517,909.090909090909,4545.45454545455,34.3571153325213,88724907.7117241,5,0.0377928268657735,97597.3984828965,0.188964134328867,487986.992414483,3688.48158341401,7438016.52892562,37190082.6446281,281103.670902447,725931063095.924,40909.0909090909,309.214037992692,798524169.405517,1546.07018996346,3992620847.02758,30178485.6824783,4545.45454545455,34.3571153325213,88724907.7117241,171.785576662607,443624538.558621,3353165.07583092,0.188964134328867,487986.992414483,3688.48158341401,18442.4079170701,37190082.6446281,281103.670902447,725931063095.924,1405518.35451224,3629655315479.62,27434986984.0712,1546.07018996346,3992620847.02758,30178485.6824783,150892428.412391,171.785576662607,443624538.558621,3353165.07583092,16765825.3791546,18442.4079170701,1405518.35451224,3629655315479.62,27434986984.0712,137174934920.356,150892428.412391,16765825.3791546,137174934920.356
"23",1474.61987435494,9090.90909090909,909.090909090909,1,5,0.0456699737534891,131824.869687307,8264462.80991736,9090.90909090909,45454.5454545455,415.181579577174,1198407906.24825,909.090909090909,4545.45454545455,41.5181579577174,119840790.624825,5,0.0456699737534891,131824.869687307,0.228349868767446,659124.348436536,6020.43833867645,8264462.80991736,41322314.0495868,377437.799615613,1089461732952.95,45454.5454545455,415.181579577174,1198407906.24825,2075.90789788587,5992039531.24124,54731257.6243314,4545.45454545455,41.5181579577174,119840790.624825,207.590789788587,599203953.124124,5473125.76243313,0.228349868767446,659124.348436536,6020.43833867645,30102.1916933822,41322314.0495868,377437.799615613,1089461732952.95,1887188.99807806,5447308664764.76,49755688749.3921,2075.90789788587,5992039531.24124,54731257.6243314,273656288.121657,207.590789788587,599203953.124124,5473125.76243313,27365628.8121657,30102.1916933822,1887188.99807806,5447308664764.76,49755688749.3921,248778443746.961,273656288.121657,27365628.8121657,248778443746.961
"24",706.737107648362,10000,909.090909090909,1,5,0.0542848375907011,173212.497904266,9090909.09090909,10000,50000,542.848375907011,1732124979.04266,909.090909090909,4545.45454545455,49.3498523551828,157465907.185697,5,0.0542848375907011,173212.497904266,0.271424187953505,866062.489521331,9402.81231741274,9090909.09090909,45454545.4545455,493498.523551828,1574659071856.97,50000,542.848375907011,1732124979.04266,2714.24187953505,8660624895.21331,94028123.1741274,4545.45454545455,49.3498523551828,157465907.185697,246.749261775914,787329535.928483,8548011.19764795,0.271424187953505,866062.489521331,9402.81231741274,47014.0615870637,45454545.4545455,493498.523551828,1574659071856.97,2467492.61775914,7873295359284.83,85480111976.4795,2714.24187953505,8660624895.21331,94028123.1741274,470140615.870637,246.749261775914,787329535.928483,8548011.19764795,42740055.9882397,47014.0615870637,2467492.61775914,7873295359284.83,85480111976.4795,427400559882.397,470140615.870637,42740055.9882397,427400559882.397
"25",10000,0,1818.18181818182,1,5,0.000204265791878966,69.2640356521154,0,0,0,0,0,1818.18181818182,9090.90909090909,0.371392348870847,125934.610276573,5,0.000204265791878966,69.2640356521154,0.00102132895939483,346.320178260577,0.0141482730912123,0,0,0,0,0,0,0,0,0,0,9090.90909090909,0.371392348870847,125934.610276573,1.85696174435423,629673.051382867,25.7241328931132,0.00102132895939483,346.320178260577,0.0141482730912123,0.0707413654560613,0,0,0,0,0,0,0,0,0,0,1.85696174435423,629673.051382867,25.7241328931132,128.620664465566,0.0707413654560613,0,0,0,0,0,128.620664465566,0
"26",9108.00293536033,909.090909090909,1818.18181818182,1,5,0.00150044326463817,338.588875038687,1652892.56198347,909.090909090909,4545.45454545455,1.36403933148925,307808.068216988,1818.18181818182,9090.90909090909,2.72807866297849,615616.136433976,5,0.00150044326463817,338.588875038687,0.00750221632319085,1692.94437519343,0.508033397033212,1652892.56198347,8264462.80991736,2480.07151179863,559651033.121796,4545.45454545455,1.36403933148925,307808.068216988,6.82019665744623,1539040.34108494,461.848542757466,9090.90909090909,2.72807866297849,615616.136433976,13.6403933148925,3078080.68216988,923.697085514932,0.00750221632319085,1692.94437519343,0.508033397033212,2.54016698516606,8264462.80991736,2480.07151179863,559651033.121796,12400.3575589931,2798255165.60898,839724.623195393,6.82019665744623,1539040.34108494,461.848542757466,2309.24271378733,13.6403933148925,3078080.68216988,923.697085514932,4618.48542757466,2.54016698516606,12400.3575589931,2798255165.60898,839724.623195393,4198623.11597696,2309.24271378733,4618.48542757466,4198623.11597696
"27",8219.64095776666,1818.18181818182,1818.18181818182,1,5,0.00353433768689367,1561.33333688443,3305785.12396694,1818.18181818182,9090.90909090909,6.42606852162486,2838787.88524443,1818.18181818182,9090.90909090909,6.42606852162486,2838787.88524443,5,0.00353433768689367,1561.33333688443,0.0176716884344684,7806.66668442217,5.51827925435411,3305785.12396694,16528925.6198347,11683.7609484088,5161432518.62623,9090.90909090909,6.42606852162486,2838787.88524443,32.1303426081243,14193939.4262221,10033.2350079166,9090.90909090909,6.42606852162486,2838787.88524443,32.1303426081243,14193939.4262221,10033.2350079166,0.0176716884344684,7806.66668442217,5.51827925435411,27.5913962717706,16528925.6198347,11683.7609484088,5161432518.62623,58418.8047420442,25807162593.1311,18242245.4689392,32.1303426081243,14193939.4262221,10033.2350079166,50166.1750395828,32.1303426081243,14193939.4262221,10033.2350079166,50166.1750395828,27.5913962717706,58418.8047420442,25807162593.1311,18242245.4689392,91211227.3446961,50166.1750395828,50166.1750395828,91211227.3446961
"28",7336.88935932867,2727.27272727273,1818.18181818182,1,5,0.00630594905864548,4420.99130802223,4958677.68595041,2727.27272727273,13636.3636363636,17.1980428872149,12057249.0218788,1818.18181818182,9090.90909090909,11.46536192481,8038166.01458588,5,0.00630594905864548,4420.99130802223,0.0315297452932274,22104.9565401112,27.8785459771027,4958677.68595041,24793388.4297521,31269.1688858454,21922270948.8706,13636.3636363636,17.1980428872149,12057249.0218788,85.9902144360747,60286245.1093941,76032.3981193709,9090.90909090909,11.46536192481,8038166.01458588,57.3268096240498,40190830.0729294,50688.2654129139,0.0315297452932274,22104.9565401112,27.8785459771027,139.392729885513,24793388.4297521,31269.1688858454,21922270948.8706,156345.844429227,109611354744.353,138240723.853402,85.9902144360747,60286245.1093941,76032.3981193709,380161.990596854,57.3268096240498,40190830.0729294,50688.2654129139,253441.32706457,139.392729885513,156345.844429227,109611354744.353,138240723.853402,691203619.267008,380161.990596854,253441.32706457,691203619.267008
"29",6461.72580287187,3636.36363636364,1818.18181818182,1,5,0.00981527737989358,9596.6363296898,6611570.24793389,3636.36363636364,18181.8181818182,35.6919177450676,34896859.3806902,1818.18181818182,9090.90909090909,17.8459588725338,17448429.6903451,5,0.00981527737989358,9596.6363296898,0.0490763868994679,47983.181648449,94.1936474898692,6611570.24793389,33057851.2396694,64894.3959001229,63448835237.6185,18181.8181818182,35.6919177450676,34896859.3806902,178.459588725338,174484296.903451,342522.354508615,9090.90909090909,17.8459588725338,17448429.6903451,89.2297943626689,87242148.4517254,171261.177254308,0.0490763868994679,47983.181648449,94.1936474898692,470.968237449346,33057851.2396694,64894.3959001229,63448835237.6185,324471.979500614,317244176188.092,622767917.288392,178.459588725338,174484296.903451,342522.354508615,1712611.77254308,89.2297943626689,87242148.4517254,171261.177254308,856305.886271538,470.968237449346,324471.979500614,317244176188.092,622767917.288392,3113839586.44196,1712611.77254308,856305.886271538,3113839586.44196
"30",5596.12769335412,4545.45454545455,1818.18181818182,1,5,0.014062322650638,17766.0789872405,8264462.80991736,4545.45454545455,22727.2727272727,63.9196484119908,80754904.4874569,1818.18181818182,9090.90909090909,25.5678593647963,32301961.7949827,5,0.014062322650638,17766.0789872405,0.0703116132531899,88830.3949362026,249.832334955296,8264462.80991736,41322314.0495868,116217.542567256,146827099068.103,22727.2727272727,63.9196484119908,80754904.4874569,319.598242059954,403774522.437284,1135601.52252407,9090.90909090909,25.5678593647963,32301961.7949827,127.839296823982,161509808.974914,454240.609009629,0.0703116132531899,88830.3949362026,249.832334955296,1249.16167477648,41322314.0495868,116217.542567256,146827099068.103,581087.71283628,734135495340.517,2064730040.95286,319.598242059954,403774522.437284,1135601.52252407,5678007.61262036,127.839296823982,161509808.974914,454240.609009629,2271203.04504814,1249.16167477648,581087.71283628,734135495340.517,2064730040.95286,10323650204.7643,5678007.61262036,2271203.04504814,10323650204.7643
