"","S2","SD"
"149",1.52312059677267e-06,0
"150",1.21686605395158e-06,1.11999951421907e-07
"151",1.45229110404548e-06,0
"152",1.13685736415578e-06,1.37857637597343e-07
"153",1.1192090511322e-06,1.11999973297119e-07
"154",1.49423656864323e-06,0
"155",1.44785674865353e-06,0
"156",1.46242136122706e-06,0
"157",1.43368465601984e-06,0
"158",1.39071528075449e-06,0
"159",1.1192090511322e-06,1.11999973297119e-07
"160",1.211556636412e-06,1.11999952611219e-07
"161",1.54405271157705e-06,0
"162",1.45842450256554e-06,0
"163",1.21274203192112e-06,1.1199995234569e-07
"164",1.1192090511322e-06,1.11999973297119e-07
"165",1.54072042968238e-06,0
"166",1.50922285534217e-06,0
"167",1.54548845601933e-06,0
"168",1.1192090511322e-06,1.11999973297119e-07
"169",1.21509936599924e-06,1.11999951817646e-07
"170",1.20148374623971e-06,1.11999954867551e-07
"171",1.49833103388428e-06,0
"172",1.1327315219565e-06,1.33731787154609e-07
"173",1.60512966529147e-06,0
"174",1.39755573269117e-06,0
"175",1.12380543160628e-06,1.24805678970026e-07
"176",1.50318569272718e-06,0
"177",1.1192090511322e-06,1.11999973297119e-07
"178",1.45574526623198e-06,0
"179",1.1192090511322e-06,1.11999973297119e-07
"180",1.1192090511322e-06,1.11999973297119e-07
"181",1.54504756533135e-06,0
"182",1.1192090511322e-06,1.11999973297119e-07
"183",1.4549673978435e-06,0
"184",1.20730005471267e-06,1.11999953564695e-07
"185",1.386471956401e-06,0
"186",1.49218987252777e-06,0
"187",1.1192090511322e-06,1.11999973297119e-07
"188",1.1254346138682e-06,1.26434864487063e-07
"189",1.53564388707632e-06,0
"190",1.55889138618167e-06,0
"191",1.54694408696472e-06,0
"192",1.45794813953741e-06,0
"193",1.47952474687166e-06,0
"194",1.43140319880045e-06,0
"195",1.12635760418195e-06,1.27357856644945e-07
"196",1.1192090511322e-06,1.11999973297119e-07
"197",1.5580682011746e-06,0
"198",1.1192090511322e-06,1.11999973297119e-07
"199",1.60003212266993e-06,0
"200",1.1192090511322e-06,1.11999973297119e-07
