"","time","launches","debris","satellites","value","risk","kessler","user_cost"
"51",51,0.14975145596821,3.47367052542983,1.46377048091802,0.715013201076968,0.102305284816793,0,0.437968443842043
"52",52,0.149751455963943,3.47367052526479,1.4637704809295,0.71501320110978,0.102305284815826,0,0.437968443846875
"53",53,0.149751455961174,3.47367052515763,1.46377048093695,0.715013201131077,0.102305284815199,0,0.437968443850012
"54",54,0.149751455959375,3.47367052508806,1.46377048094179,0.715013201144913,0.102305284814792,0,0.437968443852049
"55",55,0.149751455958208,3.47367052504289,1.46377048094493,0.715013201153887,0.102305284814527,0,0.437968443853371
"56",56,0.14975145595745,3.47367052501356,1.46377048094697,0.715013201159718,0.102305284814355,0,0.43796844385423
"57",57,0.149751455956957,3.47367052499452,1.46377048094829,0.715013201163506,0.102305284814244,0,0.437968443854788
"58",58,0.149751455956638,3.47367052498216,1.46377048094915,0.715013201165964,0.102305284814172,0,0.437968443855149
"59",59,0.149751455956431,3.47367052497413,1.46377048094971,0.715013201167558,0.102305284814124,0,0.437968443855384
"60",60,0.149751455956296,3.47367052496892,1.46377048095007,0.715013201168593,0.102305284814094,0,0.437968443855537
"61",61,0.149751455956208,3.47367052496554,1.46377048095031,0.715013201169271,0.102305284814074,0,0.437968443855636
"62",62,0.149751455956152,3.47367052496334,1.46377048095046,0.715013201169701,0.102305284814061,0,0.4379684438557
"63",63,0.149751455956115,3.47367052496191,1.46377048095056,0.715013201169987,0.102305284814053,0,0.437968443855742
"64",64,0.149751455956091,3.47367052496099,1.46377048095063,0.71501320117017,0.102305284814047,0,0.437968443855769
"65",65,0.149751455956075,3.47367052496039,1.46377048095067,0.715013201170291,0.102305284814044,0,0.437968443855787
"66",66,0.149751455956065,3.47367052496,1.46377048095069,0.715013201170368,0.102305284814042,0,0.437968443855798
"67",67,0.149751455956059,3.47367052495974,1.46377048095071,0.715013201170419,0.10230528481404,0,0.437968443855806
"68",68,0.149751455956055,3.47367052495958,1.46377048095072,0.715013201170447,0.102305284814039,0,0.43796844385581
"69",69,0.149751455956052,3.47367052495947,1.46377048095073,0.715013201170471,0.102305284814039,0,0.437968443855814
"70",70,0.14975145595605,3.47367052495941,1.46377048095074,0.715013201170488,0.102305284814038,0,0.437968443855816
"71",71,0.149751455956049,3.47367052495936,1.46377048095074,0.715013201170496,0.102305284814038,0,0.437968443855817
"72",72,0.149751455956048,3.47367052495933,1.46377048095074,0.715013201170502,0.102305284814038,0,0.437968443855818
"73",73,0.149751455956048,3.47367052495931,1.46377048095074,0.715013201170501,0.102305284814038,0,0.437968443855818
"74",74,0.149751455956046,3.4736705249593,1.46377048095074,0.715013201170511,0.102305284814038,0,0.437968443855819
"75",75,0.149751455956047,3.47367052495929,1.46377048095074,0.715013201170508,0.102305284814037,0,0.437968443855819
"76",76,0.149751455956047,3.47367052495928,1.46377048095074,0.715013201170508,0.102305284814038,0,0.437968443855819
"77",77,0.149751455956046,3.47367052495928,1.46377048095074,0.715013201170513,0.102305284814038,0,0.437968443855819
"78",78,0.149751455956047,3.47367052495928,1.46377048095074,0.715013201170511,0.102305284814038,0,0.437968443855819
