"","year","start_time.opt","time.oa","launches.oa","satellites.oa","debris.oa","runaway.oa","kessler.oa","fleet_flowv.oa","fleet_pv.oa","fleet_vfn_path.oa","collision_rate.oa","returns.oa","costs.oa","start_time.oa","R_frac.oa","R_start_year.oa","time.opt","launches.opt","satellites.opt","debris.opt","runaway.opt","kessler.opt","fleet_flowv.opt","fleet_pv.opt","fleet_vfn_path.opt","collision_rate.opt","returns.opt","costs.opt","R_frac.opt","R_start_year.opt","X","payloads_in_orbit","launch_successes","payloads_decayed","launch_failures","num_destr_asat","num_destr_satsat","num_destr_debsat","debris","risk.x","tot_rev","tot_cost","r_s","r_s_raw","risk.y","share_in_LEO","Ft_Ft","implied_r","bootstrap_draw","riskPoA","flowWelfPoA","NPVPoA","flow_welfare_loss","npv_oa_welfare","npv_opt_welfare","npv_welfare_loss","npv_welfare_gain","opt_tax_path","fe_eqm_next","launch_con","one_period_launch_deviation","one_period_sat_deviation","one_period_deb_deviation","excess_L","opt_dev_tax_path"
"3044",2038,0,33,80.4726910602286,2012.70092886772,5707.16608201572,"no","no",6684.42020596822,1402.83364444498,16112.4656697934,6.20544816759251,3.54911981828507,5.70251277683135,0,0,2029,33,38.972576458467,1138.85866475505,2025.27020046682,"no","no",3819.70424210737,801.626686765315,106014.496776836,1.79710914434558,3.54911981828507,5.70251277683135,0,2029,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,1.95384128345072,0.571433890211888,6.57965695316178,100.258607525898,563.90001390755,3710.26864739483,-3146.36863348728,3146.36863348728,NA,0.00273501106400057,455,455,1554.29264591423,3357.30104335644,0.000657600958618221,231941.371864062
"3045",2038,14,33,80.4726910602286,2012.70092886772,5707.16608201572,"no","no",6684.42020596822,1402.83364444498,16112.4656697934,6.20544816759251,3.54911981828507,5.70251277683135,0,0,2029,19,24.0724672752713,1206.08612337414,2308.35878969136,"no","no",2545.43809365565,1057.68210360043,84086.9347194365,2.04292218774788,3.54911981828507,5.70251277683135,0,2029,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,1.8202054101684,0.380801627549228,5.21875027960975,144.855053132665,563.90001390755,2942.85335525197,-2378.95334134442,2378.95334134442,NA,0.00273501106400057,455,455,1619.04941306484,3614.1036816101,0.000651058988473285,216834.125454708
"3046",2038,29,33,80.4726910602286,2012.70092886772,5707.16608201572,"no","no",6684.42020596822,1402.83364444498,16112.4656697934,6.20544816759251,3.54911981828507,5.70251277683135,0,0,2029,4,442,1779.18210323898,4835.19282420067,"no","no",1657.77805973054,1432.0510180158,73544.3875872561,4.79795697076333,3.54911981828507,5.70251277683135,0,2029,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,1.14329408858143,0.248006260625324,4.56444029700138,175.921155350276,563.90001390755,2573.88794695926,-2009.98793305171,2009.98793305171,NA,0.00273501106400057,455,94.4716222720934,1809.91739861954,4859.56929327689,3.82904968355691e-05,8644.82516623519
"3047",2039,0,34,86.6992100021544,2020.31993601357,5749.61790967939,"no","no",6830.1716790518,1365.16375940439,16498.418513058,6.25834056139253,3.62887563884157,5.78226859738785,0,0,2029,34,42.5978557257356,1138.2652223727,2023.31879312808,"no","no",3884.31069252988,776.367042716105,107914.763545008,1.79509537691757,3.62887563884157,5.78226859738785,0,2029,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,1.96424194885043,0.568698837313723,6.5409156313738,102.709696712714,575.229981818088,3762.5307797088,-3187.30079789071,3187.30079789071,NA,0.00276743795497696,467,467,1565.72086233421,3393.91315505107,0.000676627010285591,242115.989976294
"3048",2039,14,34,86.6992100021544,2020.31993601357,5749.61790967939,"no","no",6830.1716790518,1365.16375940439,16498.418513058,6.25834056139253,3.62887563884157,5.78226859738785,0,0,2029,20,22.6148292408097,1188.12188034011,2232.3445780973,"no","no",2600.52969871365,1029.11790801127,85597.6886603621,1.97565254599589,3.62887563884157,5.78226859738785,0,2029,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,1.86289968203982,0.380741483656919,5.18823598714108,147.469703082224,575.229981818088,2984.42889255111,-2409.19891073303,2409.19891073303,NA,0.00276743795497696,467,467,1613.74690983871,3583.38074329525,0.000671766774152815,230290.029112535
"3049",2039,29,34,86.6992100021544,2020.31993601357,5749.61790967939,"no","no",6830.1716790518,1365.16375940439,16498.418513058,6.25834056139253,3.62887563884157,5.78226859738785,0,0,2029,5,0.00228727407957763,2157.44577634745,5973.91094747172,"no","no",3109.05712730569,2557.82899290373,75098.2579211142,7.08617436959488,3.62887563884157,5.78226859738785,0,2029,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,0.943120310437474,0.455194579785043,4.55184585490277,129.73950528954,575.229981818088,2618.35820835446,-2043.12822653637,2043.12822653637,NA,0.00276743795497696,467,0,2078.93274102974,5897.40038642022,0,0
"3050",2040,0,35,81.3747801349892,2033.86125182294,5810.63945050388,"no","no",7234.52325980461,1377.12622546782,16614.3877068135,6.34881081799257,3.78838727995457,5.78226859738785,0,0,2029,35,41.9897814355798,1141.31871805994,2033.07755772126,"no","no",4080.96111926622,776.830536115772,107963.751732313,1.80542413645648,3.78838727995457,5.78226859738785,0,2029,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,1.97332564285127,0.564095376116938,6.49820827812015,109.219307354631,575.416572305014,3739.17673351997,-3163.76016121495,3163.76016121495,NA,0.0027755537685209,480,480,1581.66294669843,3445.00013774331,0.000697018397756377,248745.315369878
"3051",2040,14,35,81.3747801349892,2033.86125182294,5810.63945050388,"no","no",7234.52325980461,1377.12622546782,16614.3877068135,6.34881081799257,3.78838727995457,5.78226859738785,0,0,2029,21,29.796425967769,1169.36173907952,2158.4700366618,"no","no",2614.60906234493,985.41865742224,87132.2803337442,1.90748773258071,3.78838727995457,5.78226859738785,0,2029,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,1.9136309657001,0.361407237000928,5.24438708614051,160.004403337436,575.416572305014,3017.70724094765,-2442.29066864264,2442.29066864264,NA,0.0027755537685209,480,480,1608.67581057009,3556.93712565531,0.000693940611503963,241708.004838507
"3052",2040,29,35,81.3747801349892,2033.86125182294,5810.63945050388,"no","no",7234.52325980461,1377.12622546782,16614.3877068135,6.34881081799257,3.78838727995457,5.78226859738785,0,0,2029,6,20.168421138946,2078.93502830382,5897.40772051132,"no","no",3168.73492997542,2482.78673223834,75572.4375112265,6.62095335504505,3.78838727995457,5.78226859738785,0,2029,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,0.980147535526559,0.438001899528207,4.54861405938148,140.813012537839,575.416572305014,2617.34791078769,-2041.93133848267,2041.93133848267,NA,0.0027755537685209,480,0,2003.4795929691,5723.57926824607,0,0
"3053",2041,0,36,80.5189458006626,2041.54088099244,5856.44671447692,"no","no",7503.16970361685,1360.25177661751,17087.9429595,6.40358612898915,3.90802101078932,5.9019023282226,0,0,2029,36,37.9678904813732,1143.65272813401,2040.53056694049,"no","no",4245.33610936453,769.638194684293,109749.911376931,1.81333802920612,3.90802101078932,5.9019023282226,0,2029,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,1.9782472695203,0.565805689736444,6.42265202061175,112.406173452465,589.591280426403,3786.73962856571,-3197.1483481393,3197.1483481393,NA,0.00278081101414391,492,492,1595.91177871038,3490.66515200753,0.000715870040076894,260226.41702324
