Rank,Country,Operator/Revenue,per sat.,per sat.,per sat.,per sat.,per sat.,per sat.,per sat.,per sat.,per sat.,per sat.,per sat.,per sat.,per sat.,$ per sat,$ per sat,$ per sat,,2000,Sats in Orbit,2001,Sats in Orbit,2002,Sats in Orbit,2003,Sats in Orbit,2004,Sats in Orbit,2005,Sats in Orbit,2006,Sats in Orbit,2007,Sats in Orbit,2008,Sats in Orbit,2009,Sats in Orbit,Share,2010,Sats in Orbit,2011,Sats in Orbit,,,,Rank,Country,Operator/Revenue
,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,,2000,2000,2001,2001,2002,2002,2003,2003,2004,2004,2005,2005,2006,2006,2007,2007,2008,2008,2009,2009,2009,2010,2010,2011,2011,2012,in orb 12,,,,
,Egypt,Nilesat,,,,,$27.85,$33.00,$39.90,$45.80,$35.00,$39.67,$32.50,$36.25,,$90.45,$96.00,,Nilesat,,,,,,,,,$55.7,2,$66.0,2,$79.8,2,$91.6,2,$105.0,3,$119.0,3,1.2%,$130.0,4,$145.0,4,$116,4,,,Egypt,Nilesat
,Hong Kong,APT Satellite Holdings,,,$15.0,$12.97,$7.14,$8.68,$10.98,$11.58,$10.42,$24.83,$30.77,$24.38,,$48.93,$32.16,,APT Satellite Holdings,,,$48.0,,$45.1,3,$38.9,3,35.7,5,$43.4,5,$54.9,5,$57.9,5,$52.1,5,$74.5,3,1.2%,$92.3,3,$97.5,4,$81,3,,,Hong Kong,APT Satellite Holdings
,Philippines,Mabuhay Philippines Satellite Corp.,,,$28.5,,,,,,,,,,,$26.18,$26.98,,Sinosat/Gazprom SS,,,$31.1,,$28.5,1,,,,,,,,,,,,,,,,,,,,,,,,Philippines,Mabuhay Philippines Satellite Corp.
,Malaysia,Measat Global Bhd,,,$12.6,$16.70,$17.10,$17.50,$12.97,$18.83,$14.10,$17.03,$18.20,$25.00,,,,,Satelindo/PT Indosat,,,,,$25.1,2,$33.4,2,34.2,2,$35.0,2,$38.9,3,$56.5,3,$56.4,4,$68.1,4,1.5%,$91.0,5,$100.0,4,,,,,Malaysia,Measat Global Bhd
,Indonesia,PT Telkom,,,,,$11.35,$12.20,$16.40,$12.45,$17.55,$25.23,$20.55,$21.35,,,,,Binariang,,,,,,,,,$22.7,2,$24.4,2,$32.8,2,$24.9,2,$35.1,2,$50.5,2,0.8%,$41.1,2,$42.7,2,,,,,Indonesia,PT Telkom
20,Argentina,Nahuelsat,,,$18.7,$17.70,$18.20,,,,,,,,,,,,Mabuhay Philippines Satellite Corp.,,,$10.4,,$18.7,1,$17.7,1,18.2,1,$18.2,,,,,,,,,,,,,,,$115,4,,21,Argentina,Nahuelsat
,Turkey,Eurasiasat/Turksat,,,,,$21.00,$28.55,,,,,,,,$32.50,$22.67,,Measat Global Bhd,,,,,,,$3.0,1,21.0,1,$57.1,2,,,,,,,,,,,,,,$40,2,,,Turkey,Eurasiasat/Turksat
,Russia,Gascom,,,,,,,$15.70,$19.93,$27.90,$23.93,$36.10,$25.17,,$15.70,$27.45,,PT Telkom,,,,,,,,,,,$32.6,,$47.1,3,$59.8,3,$83.7,3,$71.8,3,1.2%,$72.2,2,$75.5,3,$160,8,,,Russia,Gascom
,Israel,Amos/Spacecom,,,,,,,$28.00,$18.67,$35.25,$23.33,$38.65,$27.70,,$21.25,$92.50,,ISRO/Antrix,,,,,,,,,,,$56,2,$56.0,2,$56.0,3,$70.5,2,$70.0,3,1.2%,$77.3,2,$83.1,3,$86,3,,,Israel,Amos/Spacecom
,USA,Echostar ,,,,,,,,,$5.55,$8.80,$10.67,$8.00,,$24.68,$27.50,,Amos/SpaceCom,,,,,,,,,,,,,,,$2.9,,$44.4,8,$52.8,6,2.3%,$64.0,6,$80.0,10,$89,10,,,USA,Echostar 
,United Kingdom,EuropeStar Ltd,,,,,$10.00,,,,,,,,,$5.53,,,Echostar,,,,,,,$20.8,2,20.0,2,$20.0,,,,,,,,,,,,,,,,,,,United Kingdom,EuropeStar Ltd
,Others,,,,,,,,,,,,,,,,,,Nahuelsat,,,,,,,,,,,,,,,,,,,,27,10.4%,,27,$184.4,5,$80,0,,,Others,
,FSS Subtotal,,$29.8,$34.7,$34.2,$35.24,$35.54,$35.72,$37.77,$41.10,$38.85,$37.84,$39.04,$25.33,,,,,Intersputnik,"$6,349.0",213,"$6,599.0",190,"$6,533.6",191,"$7,047.4",200,"$7,284.9",205,"$7,464.8",209,"$7,969.8",211,"$9,041.9",220,"$9,206.9",237,"$9,838.4",260,100.0%,"$10,268.1",263,"$1,697.2",67,$108,4,,,FSS Subtotal,
,,,,,,,,,,,,,,,,$23.00,,,Asia Broadcast Sat,,,,,,,,,,,,,$1,,,,,,,,,,,,,$30,1,,,,
,,,,,,,,,,,,,,,,$7.83,,,Avanti,,,,,,,,,,,,,,,,,,,,,,,,$80.0,0,"$11,689",261,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$90.0,4,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$14.4,1,,,,,,
