Satellite.Name,Op.Owner.Country,Operator.Owner,Users,Purpose,Type.of.Orbit,Perigee.km,Apogee.km,Inclination.deg,Period.min,Launch.Mass.kg,Dry.Mass.kg,Power.watts,Launch.Date,Expected.Lifetime,Contractor,Country.of.Contractor,Launch.Site,Launch.Vehicle,COSPAR.Number,NORAD.Number,Sat.Stock.Size,Record.Period,Eccentricity,Current.Official.Name.of.Satellite,Longitude.of.GEO..degrees.,Class.of.Orbit,Longitude.of.position.in.GEO,Satellite.Launch.Mass,Power,Country.Org.of.UN.Registry,Detailed.Purpose,Exp.Lifetime,Launch.Provider,Launch.Year,Launch.Month,Launch.Day,select,Sats.Per.Launch,LEO,MEO,Molniya,Elliptical,GSO,Orbit.Class,Price.Per.Vehicle
Zhangguo Ziyuan 2C (ZY-2C),China (PR),Chinese Academy of Space Technology,Military,Reconnaissance,"LEO, Sun-sync.",479,503,97.3,94.14,NA,NA,NA,2004-11-04,3-5 yrs.,Chinese Academy of Space Technology,China (PR),Taiyuan Launch Center,Long March 4B,2004-044A,28470,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,China GWIC,2004,11,4,1,1,1,0,0,0,0,LEO,NA
"Navstar GPS 61 (Navstar SVN 61, GPS IIR-13, USA 180)",USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,MEO,19938,20426,54.8,718,2217,980,800,2004-11-06,10 yrs.,Lockheed Martin,USA,Cape Canaveral,Delta 2,2004-045A,28474,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ULA,2004,11,6,1,1,0,1,0,0,0,MEO,NA
"Shiyan 2 (SY 2, Tansuo 2, Experimental Satellite 2)",China (PR),Satellite Remote-Sensing Ground Station of CAS,Government,Remote Sensing/Research,"LEO, Sun-sync.",694,711,98.1,98.82,300,NA,NA,2004-11-18,NA,Dongfanghong Satellite Company,China (PR),Xichang Satellite Launch Center,Long March 2C,2004-046A,28479,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,China GWIC,2004,11,18,1,1,1,0,0,0,0,LEO,NA
Swift ,USA/United Kingdom/Italy,Goddard Space Flight Center/Penn State University,Government/Civil,Astrophysics,LEO/I,600,600,20.6,98,1463,NA,1040,2004-11-20,7 yrs.,Spectrum Astro (General Dynamics),USA,Cape Canaveral,Delta 7320,2004-047A,28485,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ULA,2004,11,20,1,1,1,0,0,0,0,LEO,NA
AMC-16 (Americom-16),USA,SES Americom (SES Global),Commercial,Communications,"GEO, 85° W",35779,35794,0,1436.08,4312,NA,NA,2004-12-17,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 5,2004-048A,28472,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ULA,2004,12,17,1,1,0,0,0,0,1,GSO,NA
ESSAIM-1 ,France,Centre National d'Etudes Spatiales (CNES)/Délégation Générale de l'Armement (DGA),Military,ELINT Demonstration,"LEO, Sun-sync.",666,674,98.1,NA,120,NA,NA,2004-12-18,3 yrs.,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5G,2004-049C,28494,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arianespace,2004,12,18,1,7,1,0,0,0,0,LEO,NA
ESSAIM-2 ,France,Centre National d'Etudes Spatiales (CNES)/Délégation Générale de l'Armement (DGA),Military,ELINT Demonstration,"LEO, Sun-sync.",661,678,98.1,NA,120,NA,NA,2004-12-18,3 yrs.,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5G,2004-049D,28495,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arianespace,2004,12,18,1,7,1,0,0,0,0,LEO,NA
ESSAIM-3 ,France,Centre National d'Etudes Spatiales (CNES)/Délégation Générale de l'Armement (DGA),Military,ELINT Demonstration,"LEO, Sun-sync.",643,659,98.1,NA,120,NA,NA,2004-12-18,3 yrs.,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5G,2004-049E,28496,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arianespace,2004,12,18,1,7,1,0,0,0,0,LEO,NA
ESSAIM-4 ,France,Centre National d'Etudes Spatiales (CNES)/Délégation Générale de l'Armement (DGA),Military,ELINT Demonstration,"LEO, Sun-sync.",644,655,98.1,NA,120,NA,NA,2004-12-18,3 yrs.,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5G,2004-049F,28497,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arianespace,2004,12,18,1,7,1,0,0,0,0,LEO,NA
Helios 2A ,"France, Belgium, Spain",Centre National d'Etudes Spatiales (CNES)/Délégation Générale de l'Armement (DGA),Military,Photo Reconnaissance,"LEO, Sun-sync.",681,683,98.1,98,4200,NA,2900,2004-12-18,5 yrs.,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5G,2004-049A,28492,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arianespace,2004,12,18,1,7,1,0,0,0,0,LEO,NA
Nanosat-1,Spain,Instituto Nacional de Técnia Aeroespacial (INTA),Government,Communications,"LEO, Sun-sync.",658,666,98.1,97.98,20,15,20,2004-12-18,NA,Instituto Nacional de Técnia Aeroespacial (INTA),Spain,Guiana Space Center,Ariane 5G,2004-049B,28493,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arianespace,2004,12,18,1,7,1,0,0,0,0,LEO,NA
PARASOL (Polarization and Anistropy of Reflectances for Atmospheric Science coupled with Observations from LIDAR),France,Centre National d'Etudes Spatiales (CNES),Government,Earth Science,"LEO, Sun-sync.",705,705,98.21,NA,120,NA,180,2004-12-18,2 yrs.,Centre National d'Etudes Spatiales (CNES),France,Guiana Space Center,Ariane 5G,2004-049G,28498,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arianespace,2004,12,18,1,7,1,0,0,0,0,LEO,NA
"Glonass 712 (Glonass 95, Uragan M, Cosmos 2411)",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,19134,19141,64.8,676.1,1480,NA,1600,2004-12-26,7 yrs.,NPO-PM,Russia,Baikonur Cosmodrome,Proton K,2004-053A,28508,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ILS,2004,12,26,1,3,0,1,0,0,0,MEO,NA
"Glonass 796 (Glonass 96, Cosmos 2412)",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,19135,19140,64.9,676,1415,NA,1000,2004-12-26,5 yrs.,NPO-PM,Russia,Baikonur Cosmodrome,Proton K,2004-053B,28509,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ILS,2004,12,26,1,3,0,1,0,0,0,MEO,NA
"Glonass 797 (Glonass 97, Cosmos 2413)",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,19133,19139,64.8,676,1415,NA,1000,2004-12-26,5 yrs.,NPO-PM,Russia,Baikonur Cosmodrome,Proton K,2004-053C,28510,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ILS,2004,12,26,1,3,0,1,0,0,0,MEO,NA
Parus-96 (Cosmos 2414),Russia,Ministry of Defense,Military,Navigation,LEO/I,910,967,82.95,103.8,825,NA,NA,2005-01-20,2-3 yrs.,NPO-PM,Russia,Plesetsk Cosmodrome,Kosmos 3M,2005-002A,28521,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Roscosmos,2005,1,20,1,1,1,0,0,0,0,LEO,NA
"SB-WASS 3-3 (Space Based Wide Area Surveillance System) (NOSS 3-3, USA 181) ",USA,National Reconnaissance Office/US Navy,Military,Electronic Surveillance/Ocean,LEO/I,1017,1203,63.4,107.4,NA,NA,NA,2005-02-03,NA,Lockheed Martin,USA,Cape Canaveral,Atlas 3B,2005-004A,28537,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ULA,2005,2,3,1,3,1,0,0,0,0,LEO,NA
"SB-WASS 3-3 (Space Based Wide Area Surveillance System) (NOSS 3-3, USA 181) ",USA,National Reconnaissance Office/US Navy,Military,Electronic Surveillance/Ocean,LEO/I,1016,1203,63.4,107.4,NA,NA,NA,2005-02-03,NA,Lockheed Martin,USA,Cape Canaveral,Atlas 3B,2005-004C,28541,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ULA,2005,2,3,1,3,1,0,0,0,0,LEO,NA
"SB-WASS 3-3 (Space Based Wide Area Surveillance System) (NOSS 3-3, USA 181, NRO L23) ",USA,National Reconnaissance Office/US Navy,Military,Electronic Surveillance/Ocean,Intermediate,1016,1203,63.4,107.4,NA,NA,NA,2005-02-03,NA,Lockheed Martin,USA,Cape Canaveral,Atlas 3B,2005-004B,28541,1071,2013-06-01,0.0125,NA,0,LEO,NA,NA,NA,NA,NA,NA,ULA,2005,2,3,1,3,1,0,0,0,0,LEO,NA
"AMC-12 (Americom 12, Worldsat 2)",USA,SES Americom (SES Global),Commercial,Communications,"GEO, 35.7° W",35781,35792,0.09,1436.1,5396,NA,NA,2005-02-03,16 yrs.,Alcatel Space Industries,France,Baikonur Cosmodrome,Proton Breeze M,2005-003A,28526,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ILS,2005,2,3,1,1,0,0,0,0,1,GSO,NA
XTAR-EUR,Spain,Ministry of Defense/XTAR,Military/Government,Communications,"GEO, 29° E",35782,35791,0.04,1436.09,3631,1412,NA,2005-02-12,15 yrs.,Space Systems Loral,USA,Guiana Space Center,Ariane 5 ECA,2005-005A,28542,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arianespace,2005,2,12,1,1,0,0,0,0,1,GSO,NA
MTSAT-1R (Himawari 6),Japan,Japanese Ministry of Transport/Japan Meteorological Agency,Government,Meteorology/Navigation,"GEO, 140° E",35782,35792,0,NA,2900,1250,2700,2005-02-26,5 yrs.,Space Systems/Loral,USA,Tanegashima Space Center,H-2A,2005-006A,28623,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JAXA,2005,2,26,1,1,0,0,0,0,1,GSO,NA
XM 3,USA,XM Satellite Radio USA,Commercial,Communications,"GEO, 85° W",35783,35813,0.02,1436.69,4703,NA,18000,2005-03-01,15 yrs.,Boeing Satellite Systems,USA,Sea Launch (Odyssey),Zenit 3SL,2005-008A,28626,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ISC Kosmotras,2005,3,1,1,1,0,0,0,0,1,GSO,NA
INMARSAT 4 F1,Multinational,"INMARSAT, Ltd.",Commercial,Communications,"GEO, 64° E",35777,35796,2.84,1436.1,5959,NA,13000,2005-03-11,15 yrs.,EADS Astrium,France/UK/Germany,Cape Canaveral,Atlas 5,2005-009A,28628,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ULA,2005,3,11,1,1,0,0,0,0,1,GSO,NA
Express-AM2,Russia,Russian Satellite Communications Company (Intersputnik),Commercial,Communications,"GEO, 80° E",35703,35814,0.07,1436.2,2542,NA,6000,2005-03-29,12 yrs.,NPO-PM/Alcatel,Russia/France,Baikonur Cosmodrome,Proton K,2005-010A,28629,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ILS,2005,3,29,1,1,0,0,0,0,1,GSO,NA
"XSS-11 (eXperimental Satellite System 11, USA-183)",USA,U.S. Air Force,Military,Technology Development,"LEO, Sun-sync.",800,800,98.8,102.1,145,NA,NA,2005-04-11,12-18 mos.,Lockheed Martin/Air Force Research Laboratory,USA,Vandenberg AFB,Minuteman 2 ICBM,2005-011A,28636,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boeing,2005,4,11,1,1,1,0,0,0,0,LEO,NA
Apstar 6,China (PR),APT Satellite Holdings Ltd.,Commercial,Communications,"GEO, 134° E",35784,35789,0.01,1436.08,4680,NA,NA,2005-04-12,NA,Alcatel Space Industries,France,Xichang Satellite Launch Center,Long March 3B,2005-012A,28638,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,China GWIC,2005,4,12,1,1,0,0,0,0,1,GSO,NA
Spaceway F1,USA,"DirecTV, Inc.",Commercial,Communications,"GEO, 102.08° W",35784,35790,0.1,1436.12,5993,3691,12300,2005-04-26,12.6 yrs.,Boeing Satellite Systems,USA,Sea Launch (Odyssey),Zenit 3SL,2005-015A,28644,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ISC Kosmotras,2005,4,26,1,1,0,0,0,0,1,GSO,NA
"Lacrosse/Onyx 5 (Lacrosse-5, USA 182)",USA,National Reconnaissance Office (NRO),Military,Surveillance,LEO/I,713,716,57.01,99.08,14500,NA,NA,2005-04-30,5 yrs.,Lockheed Martin Astronautics,USA,Cape Canaveral,Titan 4B,2005-016A,28646,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lockheed Martin,2005,4,30,1,1,1,0,0,0,0,LEO,NA
HAMSat (VUSat Oscar 52),India,Indian Space Research Organization (ISRO),Civil,Communications,"LEO, Sun-sync.",618,618,97.9,97.2,43,NA,NA,2005-05-05,NA,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Center,PSLV C6,2005-017B,28650,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ISRO,2005,5,5,1,1,1,0,0,0,0,LEO,NA
CartoSat 1 (IRS P5),India,Indian Space Research Organization (ISRO),Government,Remote Sensing,"LEO, Sun-sync.",620,622,97.8,97.1,1560,1450,1100,2005-05-05,6 yrs.,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV C6,2005-017A,28649,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ISRO,2005,5,5,1,1,1,0,0,0,0,LEO,NA
"NOAA-18 (NOAA-N, COSPAS-SARSAT)",USA,National Oceanographic and Atmospheric Administration (NOAA) (part of international program),Government,Meteorology,"LEO, Sun-sync.",847,866,98.7,102,2223,1500,830,2005-05-20,3 yrs.,Lockheed Martin Space Systems,USA,Vandenberg AFB,Delta 2,2005-018A,28654,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ULA,2005,5,20,1,1,1,0,0,0,0,LEO,NA
DirecTV-8,USA,"DirecTV, Inc.",Commercial,Communications,"GEO, 101° W",35778,35795,0.04,1436.09,3800,NA,8200,2005-05-22,12 yrs.,Space Systems Loral,USA,Baikonur Cosmodrome,Proton M/Breeze M,2005-019A,28659,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ILS,2005,5,22,1,1,0,0,0,0,1,GSO,NA
Intelsat IA-8 (Telstar 8),Multinational,"Intelsat, Ltd.",Commercial,Communications,"GEO, 89° W",35781,35792,0.04,1436.09,5493,NA,16000,2005-06-23,"13 trs,",Space Systems Loral,USA,Sea Launch (Odyssey),Zenit 3SL,2005-022A,28702,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ISC Kosmotras,2005,6,23,1,1,0,0,0,0,1,GSO,NA
Express-AM3,Russia,Russian Satellite Communications Company (Intersputnik),Commercial,Communications,"GEO, 140° E",35605,36636,0.03,1427.62,2600,NA,4200,2005-06-24,12 yrs.,NPO-PM/Alcatel,Russia/France,Baikonur Cosmodrome,Proton K,2005-023A,28707,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ILS,2005,6,24,1,1,0,0,0,0,1,GSO,NA
Shijian 7 (SJ7),China (PR),Chinese Academy of Space Technology (CAST),Government,Space Physics,"LEO, Sun-sync.",555,570,97.58,95.91,NA,NA,NA,2005-07-05,3 yrs.,Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.,China (PR),Jiuquan Satellite Launch Center,Long March 2D,2005-024A,28737,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,China GWIC,2005,7,5,1,1,1,0,0,0,0,LEO,NA
Suzaku (Astro E2),Japan/USA,Japan Aerospace Exploration Agency (JAXA)/NASA,Government,Astrophysics,LEO/I,565,573,31.4,96.05,1600,NA,500,2005-07-10,5 yrs.,Institute of Space and Astronautical Science (ISAS),Japan,Uchinoura Space Center,M-V,2005-025A,28773,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JAXA,2005,7,10,1,1,1,0,0,0,0,LEO,NA
Thaicom-4 (Ipstar 1),Thailand,Shin Satellite Public Company Ltd. (Shin Sat),Commercial,Communications,"GEO, 120° E",35774,35802,0.09,1436.17,6505,NA,14000,2005-08-11,12 yrs.,Space Systems Loral,USA,Guiana Space Center,Ariane 5G,2005-028A,28786,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arianespace,2005,8,11,1,1,0,0,0,0,1,GSO,NA
Galaxy 14,USA,PanAmSat,Commercial,Communications,"GEO, 125° W",35729,35748,0.06,1433.64,2086,NA,4700,2005-08-13,15 yrs.,Orbital Sciences Corp.,USA,Baikonur Cosmodrome,Soyuz-Fregat,2005-030A,28790,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Starsem,2005,8,13,1,1,0,0,0,0,1,GSO,NA
Kirari (OICETS - Optical Inter-Orbit Communications Engineering Test Satellite),Japan,Japan Aerospace Exploration Agency (JAXA),Government,Technology Development,"LEO, Sun-sync.",609,610,97.8,96.9,670,NA,NA,2005-08-23,1 yr.,"NEC Toshiba Space Systems, Ltd. (NTSpace)",Japan,Baikonur Cosmodrome,Dnepr,2005-031A,28809,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ISC Kosmotras,2005,8,23,1,2,1,0,0,0,0,LEO,NA
Reimei (Innovative Technology Demonstration Experiment Satellite - INDEX),Japan,Institute of Space and Astronautical Science (ISAS)/Japan Aerospace Exploration Agency (JAXA),Government,Technology Development,"LEO, Sun-sync.",610,645,97.83,97.26,70,NA,NA,2005-08-23,NA,Institute of Space and Astronautical Science (ISAS),Japan,Baikonur Cosmodrome,Dnepr,2005-031B,28810,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ISC Kosmotras,2005,8,23,1,2,1,0,0,0,0,LEO,NA
Monitor-E,Russia,Russian Space Agency,Government,Remote Sensing,"LEO, Sun-sync.",525,544,97.6,95.33,750,NA,NA,2005-08-26,5 yrs.,Krunichev State Research and Production Space Center,Russia,Plesetsk Cosmodrome,Rockot,2005-032A,28822,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eurockot,2005,8,26,1,1,1,0,0,0,0,LEO,NA
Anik F1R,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,"GEO, 107.3° W",35778,35793,0.07,1436.06,4500,NA,10000,2005-09-09,15 yrs.,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,2005-036A,28868,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ILS,2005,9,9,1,1,0,0,0,0,1,GSO,NA
"Streak (STP-R1, USA 185)",USA,Defense Advanced Research Projects Agency (DARPA),Military,Technology Development,"LEO, Sun-sync.",282,299,96.3,90.32,400,NA,NA,2005-09-23,1 yr.,General Dynamics,USA,Vandenberg AFB,Minotaur 1,2005-037A,28871,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Orbital ATK,2005,9,23,1,1,1,0,0,0,0,LEO,NA
"Navstar GPS 53 (Navstar SVN 53, GPS IIR-M1, USA 183)",USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,MEO,20142,20221,55.08,717.95,2217,980,800,2005-09-26,10 yrs.,Lockheed Martin,USA,Cape Canaveral,Delta 2,2005-038A,28874,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ULA,2005,9,26,1,1,0,1,0,0,0,MEO,NA
Shenzhou 6 (Divine Ship),China (PR),Chinese Academy of Space Technology (CAST),Government,Research,LEO/I,331,338,42.4,91.22,8000,NA,NA,2005-10-12,.5 yrs.,China Research Institute of Space Technology (CRIST),China (PR),Jiuquan Satellite Launch Center,Long March 2F,2005-040A,28879,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,China GWIC,2005,10,12,1,1,1,0,0,0,0,LEO,NA
Galaxy 15,USA,PanAmSat,Commercial,Communications,"GEO, 133° W",35777,35793,0.07,1436.01,2033,NA,4700,2005-10-13,15 yrs.,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5,2005-041A,28884,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arianespace,2005,10,13,1,2,0,0,0,0,1,GSO,NA
Syracuse 3A (Systeme de Radio Communications Utilisant un Satellite),France,Defense Ministry,Military,Communications,"GEO, 47° E",35774,35800,1,1436.12,3725,NA,5640,2005-10-13,12 yrs.,Alcatel Alenia Space,France/Italy,Guiana Space Center,Ariane 5,2005-041B,28885,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arianespace,2005,10,13,1,2,0,0,0,0,1,GSO,NA
"Keyhole 5 (Advanced KH-11, KH-12-5, Improved Crystal, EIS-3, USA 186)",USA,National Reconnaissance Office (NRO),Military,Reconnaissance,"LEO, Sun-sync.",264,1050,97.9,97,18000,10000,NA,2005-10-19,5+ yrs.,Lockheed Martin,USA,Vandenberg AFB,Titan 4,2005-042A,28888,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lockheed Martin,2005,10,19,1,1,1,0,0,0,0,LEO,NA
"Sina-1 (Sinah 1, ZS1)",Iran,Iranian Research Organization for Science and Technology (IROST),Government,Communications/Research,"LEO, Sun-sync.",682,705,98.18,98.64,170,NA,NA,2005-10-27,3 yrs.,Polyot,Russia,Plesetsk Cosmodrome,Kosmos 3M,2005-043D,28893,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Roscosmos,2005,10,27,1,4,1,0,0,0,0,LEO,NA
Topsat,United Kingdom,Ministry of Defence/British National Space Centre,Government,Technology Development/Earth Observation,"LEO, Sun-sync.",682,707,98.19,98.66,120,NA,NA,2005-10-27,NA,QinetiQ/Surrey Satellite Technology Ltd.,United Kingdom,Plesetsk Cosmodrome,Kosmos 3M,2005-043B,28891,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Roscosmos,2005,10,27,1,4,1,0,0,0,0,LEO,NA
"Tsinghua-2 (Beijing-1, China DMC-4)",China (PR),Beijing Landview Mapping Information Technology Co. Ltd (BLMIT),Civil,Earth Observation,"LEO, Sun-sync.",682,705,98.18,98.64,166,NA,NA,2005-10-27,5 yrs.,Tsinghua University/University of Surrey,China (PR)/United Kingdom,Plesetsk Cosmodrome,Kosmos 3M,2005-043A,28890,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Roscosmos,2005,10,27,1,4,1,0,0,0,0,LEO,NA
Cubesat XI-V,Japan,"Department of Astronautics, University of Tokyo",Civil,Technology Development,"LEO, Sun-sync.",682,708,98.1,98.66,1,1,NA,2005-10-27,NA,"Department of Astronautics, University of Tokyo",Japan,Plesetsk Cosmodrome,Kosmos 3M,2005-043F,28895,813,2006-03-17,0.00184,NA,NA,NA,NA,NA,NA,NA,NA,NA,Roscosmos,2005,10,27,1,4,1,0,0,0,0,LEO,NA
INMARSAT 4 F2,Multinational,"INMARSAT, Ltd.",Commercial,Communications,"GEO, 53° W",35759,35820,2.96,1436.23,5458,NA,13000,2005-11-08,15 yrs.,EADS Astrium,France/UK/Germany,Sea Launch (Odyssey),Zenit 3SL,2005-044A,28899,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ISC Kosmotras,2005,11,8,1,1,0,0,0,0,1,GSO,NA
Spaceway F2,USA,"DirecTV, Inc.",Commercial,Communications,"GEO, 99.2° W",35775,35790,0.01,1435.89,5993,3691,12300,2005-11-16,12.6 yrs.,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 5 ECA,2005-046A,28902,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arianespace,2005,11,16,1,2,0,0,0,0,1,GSO,NA
Telkom 2,Indonesia,PT Telkomunikasi,Commercial,Communications,"GEO, 118° E",NA,NA,NA,NA,1930,899,NA,2005-11-16,15 yrs.,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,2005-046B,28903,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arianespace,2005,11,16,1,2,0,0,0,0,0,0,NA
PCSat (Prototype Communications SATellite),USA,US Naval Academy,Government,Technology Development/Communications,LEO/I,790,801,67,100.77,NA,NA,NA,2005-11-16,NA,US Naval Academy,USA,Kodiak Launch Complex,Athena-1,2001-043C,26931,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lockheed Martin,2005,11,16,1,1,1,0,0,0,0,LEO,NA
ORBCOMM FM-19 (ORBCOMM B7),USA,ORBCOMM Inc.,Commercial,Communications,LEO/I,814,824,45,101.27,45,22,160,2005-11-16,5 yrs.,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus XL,1998-046C,25415,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Orbital ATK,2005,11,16,1,1,1,0,0,0,0,LEO,NA
INSAT-4A (Indian National Satellite),India,Indian Space Research Organization,Government,Communications,"GEO, 83° E",35762,35811,0,1436.09,3100,NA,5500,2005-12-21,12 yrs.,ISRO Satellite Center,India,Guiana Space Center,Ariane 5G,2005-049A,28911,813,2006-03-17,0.000581,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arianespace,2005,12,21,1,2,0,0,0,0,1,GSO,NA
Meteosat 9 (MSG-2),Multinational,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Government/Civil,Earth Science/Meteorology,"GEO, 0.00° ",35641,35644,1.8,1428.76,2000,1000,700,2005-12-21,12 yrs.,Alcatel/Alenia Space,France/Italy,Guiana Space Center,Ariane 5G,2005-049B,28912,813,2006-03-17,3.57E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arianespace,2005,12,21,1,2,0,0,0,0,1,GSO,NA
Gonets D1 M1 ,Russia,Military Space Forces (VKS),Government,Communications,LEO/I,1437,1447,82.4,114.7,250,NA,40,2005-12-21,5 yrs.,NPO PM,Russia,Plesetsk Cosmodrome,Kosmos 3M,2005-048A,28908,813,2006-03-17,0.00064,NA,NA,NA,NA,NA,NA,NA,NA,NA,Roscosmos,2005,12,21,1,2,1,0,0,0,0,LEO,NA
Rodnik (Cosmos 2416),Russia,Ministry of Defense,Military,Communications,LEO/I,1438,1448,82.4,114.72,225,NA,NA,2005-12-21,NA,NPO-PM,Russia,Plesetsk Cosmodrome,Kosmos 3M,2005-048B,28909,813,2006-03-17,0.00064,NA,NA,NA,NA,NA,NA,NA,NA,NA,Roscosmos,2005,12,21,1,2,1,0,0,0,0,LEO,NA
Glonass 713 (Cosmos 2418),Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,MEO,19113,19129,64.8,675.37,1480,NA,1600,2005-12-25,7 yrs.,NPO-PM,Russia,Baikonur Cosmodrome,Proton K,2005-050B,28916,813,2006-03-17,0.000314,NA,NA,NA,NA,NA,NA,NA,NA,NA,ILS,2005,12,25,1,3,0,1,0,0,0,MEO,NA
