"","year","time.oa","launches.oa","satellites.oa","debris.oa","fleet_flowv.oa","fleet_pv.oa","fleet_vfn_path.oa","collision_rate.oa","returns.oa","costs.oa","time.opt","launches.opt","satellites.opt","debris.opt","fleet_flowv.opt","fleet_pv.opt","fleet_vfn_path.opt","collision_rate.opt","returns.opt","costs.opt","X","payloads_in_orbit","launch_successes","payloads_decayed","launch_failures","num_destr_asat","num_destr_satsat","num_destr_debsat","debris","risk.x","tot_rev","tot_cost","r_s","r_s_raw","risk.y","share_in_LEO","Ft_Ft","implied_r","riskPoA","flowWelfPoA","NPVPoA","flow_welfare_loss","npv_welfare_loss","opt_tax_path"
"19",1976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,613,124,60,5,2,0,0,2309,0.000623068623966506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,660,100,53,9,0,0,0,2511,0.000725225207429014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,706,122,76,6,0,0,0,2479,0.000816849106203065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,722,104,88,8,0,0,0,2320,0.000909485416938152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,738,106,90,15,0,0,0,2200,0.000980737180456141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,787,128,79,5,0,0,0,2513,0.00110785316064111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,835,118,70,42,1,0,0,2503,0.00121835832778099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,873,112,74,26,0,0,0,2541,0.001355095300856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,925,114,62,1,0,0,0,2807,0.00150913711777882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,979,119,65,6,1,0,0,3172,0.00174923961870941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,1042,113,50,20,0,0,0,3714,0.00189732996902801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,1101,114,55,8,0,0,0,3872,0.00214614708238858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,1132,104,73,8,0,0,0,3638,0.0023047378290487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,1138,89,83,2,0,0,0,3056,0.00237944507320352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,1188,111,61,11,0,0,0,3021,0.00256703442887779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,1222,93,59,34,0,0,0,3131,0.00266922585224311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,1239,85,68,3,0,0,0,3337,0.00278820183922054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,1266,72,45,7,0,0,0,3414,0.00299841522748958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,1302,67,31,5,0,0,0,3432,0.00315203253485814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,1316,52,38,12,0,0,0,3414,0.00327227813850762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,1336,48,28,12,0,0,1,3980,0.00339458581009959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,1408,101,29,9,0,0,0,3793,0.00352009944437339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,1713,334,29,16,0,0,0,3732,0.0037969911802814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,1763,80,30,8,0,0,0,3881,0.00389668471066117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,1784,56,35,9,0,0,0,3772,0.00394039395704756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,1784,47,47,6,0,0,0,3905,0.00397020697930028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,1801,59,42,5,0,0,0,3663,0.00407894131841401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,1822,44,23,3,0,0,0,3654,0.00414654694814077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,1843,38,17,6,0,0,0,3775,0.00432720720684614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,1856,36,23,4,0,0,0,3886,0.0043487205793624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",2006,1,64,1881,4019,1704.50028392959,1704.50028392959,8855.51462538139,0.00431045449557945,1,2.75780806360023,1,0,1881,4019,1881,1881,75353.0371915143,0.00431045449557945,1,2.75780806360023,49,1881,43,18,21,0,0,0,4019,0.00443443535519108,70.44,161.019,0.196541752971631,0.437463901775567,0.00443443535519108,0.449275362318841,1.20646016903435,0.19210731761644,1,1.10354924415941,8.50916523535965,-6.60959064327485,-2490.21025494864,0
"50",2007,2,65,1903.51070544095,4339.60992445271,1831.13480708295,1743.93791150757,9081.37036348334,0.00447030152858245,1.04869392390687,2.53946621237933,2,0,1839.51070544095,4199.03122239832,1929.08369975757,1837.22257119768,78960.291368512,0.00424531231195444,1.04869392390687,2.53946621237933,50,1918,59,22,6,1,0,0,6542,0.00562843063497183,73.868,185.503,0.228755375981188,0.39820380263392,0.00562843063497183,0.574468085106383,1.15205658959502,0.223126945346216,1.05299709422896,1.05349081470995,8.6947551094288,-3.6246289449692,-2585.8909968431,10720.8328933773
"51",2008,3,65,1926.22604392495,6120.25272910589,2195.15086251538,1991.06654196407,9705.88056870576,0.00509763415078569,1.21379897785349,2.1984667802385,3,0,1799.05423593176,5738.11889373444,2183.69019267696,1980.67137657774,82084.8405100508,0.00459662245587689,1.21379897785349,2.1984667802385,51,1957,59,20,6,1,0,0,6933,0.00603563311350029,85.504,169.996,0.260364326911498,0.502976540624485,0.00603563311350029,0.517647058823529,0.916405664598416,0.254328693797998,1.10899561574135,0.994779096947674,8.45722754663943,0.419104282160711,-2646.82016648456,24651.106384586
"52",2009,4,77,1947.24993608905,7555.03944274596,2428.84567081839,2098.12821148333,10107.5786825779,0.00565175711956523,1.32112436115843,1.86641113003975,4,0,1758.86676684652,6828.68064051737,2323.68173371291,2007.28364860202,86309.2004597435,0.00482920598432722,1.32112436115843,1.86641113003975,52,2008,72,21,5,0,1,0,9175,0.00693753228032124,93.055,137.815,0.399618091985189,0.675216776112905,0.00693753228032124,0.591836734693878,0.810695545777548,0.392680559704867,1.17032844279319,0.956702091710075,8.53905798512478,3.80421002585205,-2756.52454186963,43603.2182259891
"53",2010,5,77,1978.73406461821,7372.26375874819,2697.96046137698,2219.61874846549,10443.9803036119,0.00568724037937916,1.44108461101647,1.99432140829074,5,7.3811943831314,1719.1752176389,6158.30704085401,2462.75647580328,2026.11584745309,88484.1496170002,0.00449849513806978,1.44108461101647,1.99432140829074,53,2033,60,35,6,0,0,0,9518,0.00678180603491688,101.507,136.162,0.381618341877078,0.745486993434292,0.00678180603491688,0.511904761904762,0.988005659761274,0.374836535842161,1.26425397934729,0.912821559492515,8.47226316449481,8.37291328837969,-2778.1143634861,72337.7744697329
"54",2011,6,77,2009.41330884166,7281.41439383555,2941.85994512104,2305.0242450878,10665.0202309498,0.00575309508437258,1.54514480408859,2.11655309483248,6,14.7855461347845,1688.31898040829,5531.48962842653,2577.40290679164,2019.46261900311,90277.3231403845,0.00421765025559762,1.54514480408859,2.11655309483248,54,2063,67,37,9,0,0,0,9662,0.00683078232376902,108.839,166.985,0.352498177460642,0.651789082851753,0.00683078232376902,0.540816326530612,1.2263700591942,0.345667395136873,1.36405219392887,0.876113395903215,8.46480561550186,12.7760444638052,-2790.80993057287,106610.622608253
"55",2012,7,77,2039.2444030382,7273.54993247017,3135.11238455459,2339.46913154081,10924.4498850549,0.00584617173862078,1.62620670073822,2.35221465076661,7,13.7608024097741,1666.01909570899,4982.10812763189,2676.9230559652,1997.56119997281,92060.8069258107,0.00399237465574704,1.62620670073822,2.35221465076661,55,2095,63,31,6,0,0,0,9427,0.00654206309353886,114.545,186.885,0.315561245505721,0.612917034539958,0.00654206309353886,0.514851485148515,1.11917238075276,0.309019182412182,1.46433444822249,0.853852343269512,8.4270428162935,15.8268701180453,-2802.62874888164,146693.609393936
"56",2013,8,159,2068.18881999855,7339.40238856713,3145.14616134052,2235.19665739513,11245.914512565,0.00596345756470025,1.70712663259512,2.42461669505963,8,13.4582132438113,1643.55292820733,4511.29540077374,2773.1219673058,1970.80600833795,93851.8693865079,0.00379575871582174,1.70712663259512,2.42461669505963,56,2209,151,37,8,0,0,3,9410,0.00675067599600084,120.249,215.897,0.4413755650952,0.556973927382039,0.00675067599600084,0.792452830188679,1.15523985338577,0.4346248890992,1.57108446852614,0.881714815480578,8.34541906588816,12.6706923344764,-2813.45852228551,185401.022240483
"57",2014,9,164,2178.21290475651,7650.64001682401,3411.70848392827,2309.17859368987,11809.5343184179,0.00644171351026583,1.74872231686542,2.42305508233958,9,20.8635214256088,1621.59007914516,4116.94308411311,2785.15729858288,1885.10408912238,95315.9751104247,0.00362692296869923,1.74872231686542,2.42305508233958,57,2256,131,84,33,0,0,0,9130,0.00707092874183037,123.183,254.387,0.327655781378313,0.484234650355561,0.00707092874183037,0.676646706586826,1.17827945733382,0.320584852636483,1.77608225094897,0.816352660757236,8.07110361343984,20.2616858064492,-2700.46774424307,238881.551048213
"58",2015,10,164,2289.60837928646,8232.8163479087,3435.57782084745,2214.60409567838,12155.6070119315,0.00704624861385286,1.71473594548552,2.99082907438955,10,25.1261467421177,1607.77477366163,3808.16674744342,2681.76118643875,1728.68717194523,96714.15449759,0.00350632705671947,1.71473594548552,2.99082907438955,58,2271,89,74,28,0,0,0,9331,0.00709100620212106,126.551,239.109,0.384916882714958,0.529260713733067,0.00709100620212106,0.727272727272727,0.939941899546754,0.377825876512837,2.00958110862749,0.780585195935757,7.95634100400409,23.1912340154419,-2601.45103362437,307273.657151118
"59",2016,11,167,2396.95413975056,9093.20987658918,3604.04938498084,2212.57368385516,12606.5467548305,0.00777437740933695,1.71475014196479,3.0307069846678,11,29.1478297936574,1598.70797863488,3575.53730608321,2653.04620198086,1628.74022565202,98302.8264118522,0.00342040140111172,1.71475014196479,3.0307069846678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2729429963425,0.736129258671343,7.79776003084946,27.9474117170594,-2518.38190766086,381425.378923392
"60",2017,12,80.0849388865302,2502.92954447579,10269.137017621,4033.21670802986,2358.13827758244,13082.9430480605,0.00866808117151964,1.71475014196479,3.23009653605906,12,30.9044551613355,1593.99061404903,3408.23712229035,2633.4712581657,1539.73610305389,99995.7930463611,0.00336395795736064,1.71475014196479,3.23009653605906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.57675074462602,0.652945638384032,7.64321855403822,39.3930662994677,-2445.99020671295,463591.64479826
"61",2018,13,49.0380412939039,2517.09482763509,11645.0207362304,4146.05789804192,2308.68017556034,13077.0984372912,0.00933534708675633,1.71475014196479,3.46936399772856,13,31.875213320079,1591.21816880768,3290.58997553758,2617.95486334733,1457.77522701171,101791.847835802,0.00332598966402213,1.71475014196479,3.46936399772856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.80678776237298,0.631432297311557,7.78397809911168,42.7634178029829,-2482.65058551741,568316.128983496
"62",2019,14,20.5837864845487,2498.19050625278,13140.0230541141,4409.10713053669,2338.24364860601,13139.8961029644,0.00995730373625222,1.79449176604202,3.58899772856332,14,32.6893911750476,1589.53439534657,3209.26874092842,2735.08423361465,1450.47356489917,103687.317547529,0.00330049068398908,1.79449176604202,3.58899772856332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0169161769054,0.620326100645626,7.89103024369702,47.201433423131,-2553.11208276193,691896.732407047
"63",2020,15,0,2449.8161297775,14762.8742701523,4493.86842102414,2269.70892443787,12989.2419188289,0.0105520703987145,1.83436967632027,3.74850936967632,15,33.089471188286,1588.74011982572,3154.28913370356,2790.30050657481,1409.29136509809,105544.183941023,0.00328419292588068,1.83436967632027,3.74850936967632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.21298737219734,0.620912818346137,8.12550760087309,48.9829920030406,-2661.24875120138,818023.347372937
"64",2021,16,0,2380.76215753131,16568.1990777437,4557.07754773005,2192.03221778462,12696.6383348332,0.0111868342985238,1.91412549687677,3.82826519023282,16,33.8351745369271,1588.3880871965,3117.61882539222,2910.84411575297,1400.16578955467,107429.001819922,0.00327380190476118,1.91412549687677,3.82826519023282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.41707733820256,0.638752376992775,8.46121618863399,48.7073782576872,-2802.86195862968,978047.642165509
"65",2022,17,0,2312.17035119012,18715.0859375923,4702.39778777391,2154.2226075661,12582.9690088529,0.0120474281920211,2.03375922771153,3.94789892106758,17,33.9595645204288,1588.80537867495,3094.62610410999,3097.17867178776,1418.853235212,109271.499865332,0.0032689112838722,2.03375922771153,3.94789892106758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.68545584319139,0.658638169624938,8.68407923348237,48.9028130958706,-2945.6048123897,1195652.8457484
"66",2023,18,0,2243.60035986209,21508.2146368361,4741.88312286809,2068.86789954518,12353.1996044831,0.0133395214694762,2.11351504826803,3.98777683134583,18,34.6631518130039,1589.34591255018,3080.58853026577,3220.87758937676,1405.25822344512,111008.988192415,0.00326665127429923,2.11351504826803,3.98777683134583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.08354622191431,0.67924018916532,8.98625390559778,47.7534375978238,-3097.39375713109,1508018.06468309
"67",2024,19,0.485933071109287,2174.21661620831,25522.6956929444,4766.63066221973,1980.63349427697,13017.347457706,0.015501889419819,2.19327086882453,4.14728847245883,19,34.8604547571193,1590.5821920114,3073.90246950037,3344.00122405079,1389.50157849525,112696.457461884,0.00326805036907727,2.19327086882453,4.14728847245883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.74346710396507,0.701544017361218,8.65740565257556,46.0901719164394,-3229.39143061981,1981625.59257525
"68",2025,20,0,2102.84685001966,32004.1584987617,4779.82701377553,1891.53985801647,5400.20277134172,0.01964677607648,2.27302668938103,4.42643384440659,20,34.3764993082046,1591.9875874708,3072.09148158858,3466.46497549439,1371.79790161202,114339.267592239,0.00327113726673163,2.27302668938103,4.42643384440659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.00609955329394,0.725228123424548,21.1731433862123,43.9942747022487,-3649.18050304628,2927557.19396339
"69",2026,21,0,2024.78913875941,44129.5199576357,4763.88847198463,1795.45946267093,4823.12212402007,0.0292965067929555,2.35278250993754,4.58594548551959,21,34.4462785867471,1592.87464078149,3072.25186628837,3589.71883957588,1352.92727710722,115944.800444746,0.00327342317181363,2.35278250993754,4.58594548551959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.94980735922508,0.753527052676867,24.0393665064624,40.8479615598628,-3865.79069942452,5056208.97569735
"70",2027,22,0,1930.43850693636,72080.5067165221,4695.86566278437,1685.54512503608,4130.39960906857,0.0603358033360819,2.43253833049404,4.70557921635434,22,34.6209785519014,1593.8092368348,3074.02751627988,3714.09030297242,1333.14435583895,117505.61725225,0.00327624764715219,2.43253833049404,4.70557921635434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.4161302301209,0.790927715928352,28.448970650263,35.8241177311087,-4136.96178463609,11892988.7856252
"71",2028,23,0,1781.63291883964,162058.364581211,4404.93816363366,1505.82754338271,6230.79946326877,0.241650880331442,2.47241624077229,4.86509085746735,23,39.0869582268546,1594.89444892074,3077.16772144926,3753.08133471354,1282.99037044943,120466.473769671,0.0032798075088777,2.47241624077229,4.86509085746735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.6783727939361,0.85201680370868,19.3340316085976,25.7723095165074,-4516.50887960903,25948872.5299905
"72",2029,24,0,1327.01854561177,690743.909225062,3492.61710997449,1137.09591314258,48077.7135569158,1,2.63192788188529,4.9049687677456,24,32.8973909645759,1600.41723003444,3090.88214428729,4050.82205515571,1318.83142604745,120537.822373802,0.00329736268137058,2.63192788188529,4.9049687677456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303.272674749974,1.15982426003327,2.50714548292954,-29.6302990403487,-3846.28389854825,134429868.502298
"73",2030,25,0,0,10526396.9961501,0,0,1039264.66467185,1,2.67180579216354,4.86509085746735,25,37.2189021022799,1599.60662342026,3095.7169065978,4092.76490129465,1269.03506022261,120448.838133097,0.00329655819197031,2.67180579216354,4.86509085746735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303.346685168726,Inf,0.11589813666101,-Inf,Inf,Inf
"74",2031,26,0,0,2327098711.84823,0,0,0,1,2.75156161272005,4.9847245883021,26,33.7352386845777,1603.13586487552,3106.96486367971,4242.96623200297,1252.95968853049,123254.257618027,0.00330844163896375,2.75156161272005,4.9847245883021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302.257107461993,Inf,Inf,-Inf,-Inf,Inf
