year,time.oa,launches.oa,satellites.oa,debris.oa,runaway.oa,kessler.oa,fleet_flowv.oa,fleet_pv.oa,fleet_vfn_path.oa,collision_rate.oa,returns.oa,costs.oa,start_time.oa,R_frac.oa,R_start_year.oa,time.opt,launches.opt,satellites.opt,debris.opt,runaway.opt,kessler.opt,fleet_flowv.opt,fleet_pv.opt,fleet_vfn_path.opt,collision_rate.opt,returns.opt,costs.opt,start_time.opt,R_frac.opt,R_start_year.opt,X,payloads_in_orbit,launch_successes,payloads_decayed,launch_failures,num_destr_asat,num_destr_satsat,num_destr_debsat,debris,risk.x,tot_rev,tot_cost,r_s,r_s_raw,risk.y,share_in_LEO,Ft_Ft,implied_r
2025,20,150.758385491998,3238.14634554987,31889.2960719495,yes,no,6693.07104768665,2648.67549029461,21690.8153141993,24.3109881575496,2.27302668938103,4.42643384440659,0,0.25,2030,20,42.2188895070934,1194.51471818384,2445.24090595076,no,no,2528.28471390287,1000.52811429749,88906.5119527622,2.00600360313285,2.27302668938103,4.42643384440659,-1,0.25,2030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,21,8.84950065344901,3257.84221585068,36926.895112493,yes,no,7624.41085801884,2873.56026549001,22041.5076535465,26.4538574757501,2.35278250993754,4.58594548551959,0,0.25,2030,12,0,1614.09761448669,6494.74493904603,no,no,2767.77411358609,1618.26020108336,79566.3799113528,4.26766961350287,2.35278250993754,4.58594548551959,9,0.25,2030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,21,8.84950065344901,3257.84221585068,36926.895112493,yes,no,7624.41085801884,2873.56026549001,22041.5076535465,26.4538574757501,2.35278250993754,4.58594548551959,0,0.25,2030,2,0,3107.08383035868,36201.0578252783,yes,no,3258.37993396644,3103.21898472994,26757.7551004706,24.4241665941154,2.35278250993754,4.58594548551959,19,0.25,2030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,21,8.84950065344901,3257.84221585068,36926.895112493,yes,no,7624.41085801884,2873.56026549001,22041.5076535465,26.4538574757501,2.35278250993754,4.58594548551959,0,0.25,2030,21,41.8054370279567,1195.11694824334,2448.17091001289,no,no,2620.13279794833,987.500495277334,90700.0337061489,2.00826483018502,2.35278250993754,4.58594548551959,-1,0.25,2030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,21,8.84950065344901,3257.84221585068,36926.895112493,yes,no,7624.41085801884,2873.56026549001,22041.5076535465,26.4538574757501,2.35278250993754,4.58594548551959,0,0.25,2030,17,27.5660083801633,1248.68591408,2920.569029944,no,no,2430.69868553141,1113.53107433129,84103.4270657093,2.24557418201022,2.35278250993754,4.58594548551959,4,0.25,2030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,21,8.84950065344901,3257.84221585068,36926.895112493,yes,no,7624.41085801884,2873.56026549001,22041.5076535465,26.4538574757501,2.35278250993754,4.58594548551959,0,0.25,2030,7,0,2115.5058547949,16562.3472543556,no,no,3440.24979651839,2567.16736643805,81736.4332978679,9.3288646148649,2.35278250993754,4.58594548551959,14,0.25,2030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,21,8.84950065344901,3257.84221585068,36926.895112493,yes,no,7624.41085801884,2873.56026549001,22041.5076535465,26.4538574757501,2.35278250993754,4.58594548551959,0,0.25,2030,21,39.2924907661686,1204.86634948477,2523.82228121783,no,no,2654.59525323611,1000.48903222928,90807.5206357466,2.04905022139068,2.35278250993754,4.58594548551959,0,0.25,2030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2027,22,0,3132.90328729875,41493.3312461272,yes,no,7620.90733208498,2735.46649848816,21439.1247127317,26.660424779996,2.43253833049404,4.70557921635434,0,0.25,2030,3,0,2980.26530007231,39517.3245199795,yes,no,3617.44297496,3281.1274149297,29353.4021599624,24.1467803807913,2.43253833049404,4.70557921635434,19,0.25,2030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2027,22,0,3132.90328729875,41493.3312461272,yes,no,7620.90733208498,2735.46649848816,21439.1247127317,26.660424779996,2.43253833049404,4.70557921635434,0,0.25,2030,13,0,1556.35744682365,5934.60751576261,no,no,2668.76415288882,1486.06774061943,80519.2972594466,3.90796038755145,2.43253833049404,4.70557921635434,9,0.25,2030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2027,22,0,3132.90328729875,41493.3312461272,yes,no,7620.90733208498,2735.46649848816,21439.1247127317,26.660424779996,2.43253833049404,4.70557921635434,0,0.25,2030,18,33.2762355314815,1232.60428661548,2783.65989752213,no,no,2472.42950723464,1078.71280435782,85770.1695239764,2.17371941772239,2.43253833049404,4.70557921635434,4,0.25,2030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2027,22,0,3132.90328729875,41493.3312461272,yes,no,7620.90733208498,2735.46649848816,21439.1247127317,26.660424779996,2.43253833049404,4.70557921635434,0,0.25,2030,8,0,2036.21770947585,15589.6230966863,no,no,3476.08148160805,2470.38621098989,82625.1323474047,8.55921718054564,2.43253833049404,4.70557921635434,14,0.25,2030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2027,22,0,3132.90328729875,41493.3312461272,yes,no,7620.90733208498,2735.46649848816,21439.1247127317,26.660424779996,2.43253833049404,4.70557921635434,0,0.25,2030,22,41.6089813796468,1195.28353588784,2448.99465532696,no,no,2711.77865886187,973.372244194751,92479.837376755,2.0088924139116,2.43253833049404,4.70557921635434,-1,0.25,2030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2027,22,0,3132.90328729875,41493.3312461272,yes,no,7620.90733208498,2735.46649848816,21439.1247127317,26.660424779996,2.43253833049404,4.70557921635434,0,0.25,2030,22,39.9073658634154,1202.15672176066,2502.31726912446,no,no,2736.50503355753,982.247587597009,92558.1625920289,2.03760739061038,2.43253833049404,4.70557921635434,0,0.25,2030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2028,23,20.0987428554499,3003.06515363317,44982.0055693453,yes,no,7327.04484782734,2504.74933667567,20971.1591444284,26.3301272463568,2.47241624077229,4.86509085746735,0,0.25,2030,4,0,2857.92737702964,41742.0532935167,yes,no,3775.67748021548,3261.57216733871,30509.0291459845,23.4952470912608,2.47241624077229,4.86509085746735,19,0.25,2030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2028,23,20.0987428554499,3003.06515363317,44982.0055693453,yes,no,7327.04484782734,2504.74933667567,20971.1591444284,26.3301272463568,2.47241624077229,4.86509085746735,0,0.25,2030,19,35.1140448415554,1222.83652552132,2692.51467934366,no,no,2536.38365536773,1053.91979747358,87449.0510090549,2.12947168063595,2.47241624077229,4.86509085746735,4,0.25,2030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2028,23,20.0987428554499,3003.06515363317,44982.0055693453,yes,no,7327.04484782734,2504.74933667567,20971.1591444284,26.3301272463568,2.47241624077229,4.86509085746735,0,0.25,2030,9,231.870944581083,1960.30730087308,14459.5737738834,no,no,2866.19705423689,1939.9549856382,83579.9870779546,7.80714949496281,2.47241624077229,4.86509085746735,14,0.25,2030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2028,23,20.0987428554499,3003.06515363317,44982.0055693453,yes,no,7327.04484782734,2504.74933667567,20971.1591444284,26.3301272463568,2.47241624077229,4.86509085746735,0,0.25,2030,14,0,1500.88295147393,5385.88113632963,no,no,2693.32209821281,1428.32621284704,81627.0377623651,3.57494427958911,2.47241624077229,4.86509085746735,9,0.25,2030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2028,23,20.0987428554499,3003.06515363317,44982.0055693453,yes,no,7327.04484782734,2504.74933667567,20971.1591444284,26.3301272463568,2.47241624077229,4.86509085746735,0,0.25,2030,23,40.8359145924744,1200.16303552197,2486.73002187751,no,no,2768.63214585892,946.456542148149,96076.5958996638,2.02924095920196,2.47241624077229,4.86509085746735,0,0.25,2030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2028,23,20.0987428554499,3003.06515363317,44982.0055693453,yes,no,7327.04484782734,2504.74933667567,20971.1591444284,26.3301272463568,2.47241624077229,4.86509085746735,0,0.25,2030,23,41.9426818299351,1195.24752773106,2448.83670220464,no,no,2751.09444139672,940.461280138591,96016.2068888611,2.0087595818348,2.47241624077229,4.86509085746735,-1,0.25,2030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2029,24,0,2897.95782374294,47350.8268815156,yes,no,7627.21599683667,2483.20267168422,20402.3574855457,25.8592773006184,2.63192788188529,4.9049687677456,0,0.25,2030,20,36.279325414431,1215.27380002909,2624.1168464013,no,no,2601.76174850495,1029.60547195042,89126.6818408786,2.0958195929793,2.63192788188529,4.9049687677456,4,0.25,2030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2029,24,0,2897.95782374294,47350.8268815156,yes,no,7627.21599683667,2483.20267168422,20402.3574855457,25.8592773006184,2.63192788188529,4.9049687677456,0,0.25,2030,24,41.0454511734023,1199.17220930324,2477.73337170445,no,no,2954.80811678361,962.000736960173,96101.0683198149,2.02491262052305,2.63192788188529,4.9049687677456,0,0.25,2030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2029,24,0,2897.95782374294,47350.8268815156,yes,no,7627.21599683667,2483.20267168422,20402.3574855457,25.8592773006184,2.63192788188529,4.9049687677456,0,0.25,2030,10,0,2119.51638203815,14358.5094099186,no,no,3634.41092732623,2342.77368895388,84653.1866951378,8.8077774642672,2.63192788188529,4.9049687677456,14,0.25,2030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2029,24,0,2897.95782374294,47350.8268815156,yes,no,7627.21599683667,2483.20267168422,20402.3574855457,25.8592773006184,2.63192788188529,4.9049687677456,0,0.25,2030,15,0,1447.57306484888,4862.5229733157,no,no,2655.38413441679,1341.14942918667,82752.1473599711,3.2690669014828,2.63192788188529,4.9049687677456,9,0.25,2030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2029,24,0,2897.95782374294,47350.8268815156,yes,no,7627.21599683667,2483.20267168422,20402.3574855457,25.8592773006184,2.63192788188529,4.9049687677456,0,0.25,2030,24,42.0373105826718,1195.54654450005,2450.28705383782,no,no,2940.40058907327,957.310059350213,96056.8387184385,2.00988229558341,2.63192788188529,4.9049687677456,-1,0.25,2030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2029,24,0,2897.95782374294,47350.8268815156,yes,no,7627.21599683667,2483.20267168422,20402.3574855457,25.8592773006184,2.63192788188529,4.9049687677456,0,0.25,2030,5,0,2740.28295162153,42849.6956278791,yes,no,3948.97959141257,3248.83528275775,30470.5557893967,22.5105033751087,2.63192788188529,4.9049687677456,19,0.25,2030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2030,25,42.9578166957956,2776.69823138929,48564.6025848609,yes,no,7209.80473645269,2235.52908817784,19380.9985122927,24.7823004374952,2.67180579216354,4.86509085746735,0,0.25,2030,1,0,2776.69823138929,48564.6025848609,yes,no,2776.69823138929,2776.69823138929,26148.6878399849,24.7823004374952,2.67180579216354,4.86509085746735,24,0.25,2030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2030,25,42.9578166957956,2776.69823138929,48564.6025848609,yes,no,7209.80473645269,2235.52908817784,19380.9985122927,24.7823004374952,2.67180579216354,4.86509085746735,0,0.25,2030,25,41.2330327323952,1198.4280157546,2471.18019154023,yes,no,3001.36446341219,930.626807166824,96055.1185718305,2.02169335282615,2.67180579216354,4.86509085746735,0,0.25,2030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
