"","S2","SD"
"136",1.50582108134114e-06,0
"137",1.55667078281171e-06,0
"138",1.54493002713231e-06,0
"139",1.14002105223065e-06,1.41021331993275e-07
"140",1.19886114356754e-06,1.11999955455015e-07
"141",1.2237921754295e-06,1.11999949870452e-07
"142",1.54478437325425e-06,0
"143",1.45670890054836e-06,0
"144",1.60350563232158e-06,0
"145",1.19316621478985e-06,1.11999956730681e-07
"146",1.1192090511322e-06,1.11999973297119e-07
"147",1.45354743214223e-06,0
"148",1.5145943327893e-06,0
"149",1.46032637565878e-06,0
"150",1.1192090511322e-06,1.11999973297119e-07
"151",1.45705358809215e-06,6.78166325392714e-09
"152",1.1434529223322e-06,1.44453208951713e-07
"153",1.48844793635831e-06,0
"154",1.52854823048647e-06,0
"155",1.47479270100468e-06,0
"156",1.49129603176492e-06,0
"157",1.14022316813769e-06,1.41223448304136e-07
"158",1.55414303278332e-06,0
"159",1.47657252947832e-06,0
"160",1.50153955931035e-06,0
"161",1.1192090511322e-06,1.11999973297119e-07
"162",1.59661380134945e-06,0
"163",1.21611831076842e-06,1.11999951589402e-07
"164",1.51497278530684e-06,0
"165",1.4939661484534e-06,0
"166",1.37416664704677e-06,0
"167",1.49452170749068e-06,0
"168",1.50266526618062e-06,0
"169",1.13922762592375e-06,1.40227904101102e-07
"170",1.45995168194599e-06,0
"171",1.54012294328442e-06,0
"172",1.13270652274743e-06,1.33706787895591e-07
"173",1.1192090511322e-06,1.11999973297119e-07
"174",1.12727125958524e-06,1.28271513873727e-07
"175",1.1192090511322e-06,1.11999973297119e-07
"176",1.53727268361715e-06,0
"177",1.47614001119271e-06,0
"178",1.38100565963908e-06,0
"179",1.1192090511322e-06,1.11999973297119e-07
"180",1.13991333142113e-06,1.40913610968526e-07
"181",1.24184159716847e-06,1.11999945827374e-07
"182",1.1192090511322e-06,1.11999973297119e-07
"183",1.50752708782317e-06,0
"184",1.60941439565691e-06,0
"185",1.49497263897015e-06,0
"186",1.49880082963103e-06,0
"187",1.57320388012253e-06,0
"188",1.50423457874932e-06,0
"189",1.39674483926078e-06,0
"190",1.4775380404734e-06,0
"191",1.50434501936687e-06,0
"192",1.21010857074102e-06,1.11999952935586e-07
"193",1.1192090511322e-06,1.11999973297119e-07
"194",1.48923227653698e-06,0
"195",1.13689968216348e-06,1.37899955689597e-07
"196",1.50870224575425e-06,0
"197",1.46481666326107e-06,0
"198",1.51795510412168e-06,0
"199",1.55151888415498e-06,0
"200",1.47075656752735e-06,0
"201",1.13793051427195e-06,1.38930789857672e-07
"202",1.04190972898171e-06,1.53910000549867e-07
"203",1.50331659615924e-06,0
"204",1.50622336351713e-06,0
"205",1.21486886192975e-06,1.11999951869279e-07
"206",1.12837651784201e-06,1.29376774338809e-07
"207",1.13598683856465e-06,1.36987110266897e-07
"208",1.45228301303633e-06,0
"209",1.50228999698983e-06,0
"210",1.1192090511322e-06,1.11999973297119e-07
"211",1.44156776057086e-06,0
"212",1.45518944747738e-06,0
"213",1.39698458555767e-06,0
"214",1.55844926551333e-06,0
"215",1.52463983098895e-06,0
"216",1.50479939246562e-06,0
"217",1.54227832172947e-06,0
"218",1.20629417280696e-06,1.11999953790013e-07
"219",1.44665590311672e-06,0
"220",1.38563201257882e-06,0
"221",1.1391251125314e-06,1.40125390503933e-07
"222",1.49638583933629e-06,0
