"","year","time.oa","launches.oa","satellites.oa","debris.oa","runaway.oa","kessler.oa","fleet_flowv.oa","fleet_pv.oa","fleet_vfn_path.oa","collision_rate.oa","returns.oa","costs.oa","time.opt","launches.opt","satellites.opt","debris.opt","runaway.opt","kessler.opt","fleet_flowv.opt","fleet_pv.opt","fleet_vfn_path.opt","collision_rate.opt","returns.opt","costs.opt","X","payloads_in_orbit","launch_successes","payloads_decayed","launch_failures","num_destr_asat","num_destr_satsat","num_destr_debsat","debris","risk.x","tot_rev","tot_cost","r_s","r_s_raw","risk.y","share_in_LEO","Ft_Ft","implied_r","bootstrap_draw","riskPoA","flowWelfPoA","NPVPoA","flow_welfare_loss","npv_welfare_loss","opt_tax_path"
"7130",2028,23,33.5964210139234,3157.11341552259,41066.0183272685,"yes","no",7642.24884177966,2612.50178137426,22036.9876017314,27.6630665387659,2.47241624077229,4.86509085746735,23,55.3797783735542,1254.53366157975,2556.14642984312,"no","no",2832.30174603155,968.221986759297,101708.546442766,2.18081499975816,2.47241624077229,4.86509085746735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,5.04050013667359,0.370611034090848,4.61535615851482,107.31723217755,-1777.59360090442,762415.56065688
"7230",2029,24,2.79091862110704,3059.09819566846,43776.0911846694,"yes","no",8037.63646593496,2616.82379973428,21530.3113918273,27.5186079245748,2.63192788188529,4.9049687677456,24,40.2143461521693,1266.13417204903,2609.28738933276,"no","no",3135.12371773189,1020.70632261644,101881.345724069,2.22607669865501,2.63192788188529,4.9049687677456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,5.11649612159947,0.390055426246154,4.73199592286167,112.887189588226,-1850.19456595976,817429.449261156
"7330",2030,25,19.2516441472185,2933.67283074471,45434.6551125364,"yes","no",7744.5430635647,2401.3342838135,20471.4747021069,26.5951773874149,2.67180579216354,4.86509085746735,25,53.9116866877872,1262.14016667988,2588.72776142508,"no","no",3109.90815384217,964.282722432817,101797.98679998,2.21007730204704,2.67180579216354,4.86509085746735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,5.1771570112886,0.401561219082528,4.97267482100364,111.281557922729,-1952.71928489721,854435.531147004
"7430",2031,26,6.75125349229415,2829.76710803596,46015.0032730307,"no","no",7752.62540812467,2289.37177095371,20255.4979678738,25.5327386532795,2.75156161272005,4.9847245883021,26,37.9165379276243,1271.99163564466,2634.69922464074,"no","no",3310.95985742972,977.735622879022,105632.255016095,2.24887494847859,2.75156161272005,4.9847245883021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,5.10347103872072,0.427075949517678,5.21499176093486,110.564194665512,-2125.24159652514,900206.708103659
"7530",2032,27,118.433029544455,2717.83950062473,45597.0681252329,"no","no",7085.81887762446,1992.82090886745,19612.9583056454,24.0394042823183,2.83131743327655,5.14423622941511,27,37.9146591699724,1265.48321815583,2603.06926509899,"no","no",3387.9427337554,952.827504410726,107374.390737366,2.22300270149003,2.83131743327655,5.14423622941511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,5.03519500493236,0.478130021704876,5.47466573191352,95.8402420430867,-2274.56967163417,945071.294555808
"7630",2033,28,168.943842117867,2722.75521497072,44783.0429681668,"no","no",7267.47129864285,1946.57997072396,20049.7935336856,23.8173124310373,2.99082907438955,5.18411413969336,28,44.6044467206914,1259.21411993586,2572.5429043071,"no","no",3534.85965784809,946.806217256366,109113.816260371,2.19821181199603,2.99082907438955,5.18411413969336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,5.01088231273641,0.486394718684091,5.44214163986521,96.5658471727176,-2304.16224211884,939063.963974342
"7730",2034,29,179.744371776527,2778.23317513691,44323.7672147796,"no","no",7584.64982309496,1934.79590982994,20660.1472583369,24.3132418565979,3.07058489494605,5.26386996024986,29,39.9302244119526,1259.86701256797,2575.1655684631,"no","no",3658.3411096439,933.219539569126,110834.506420454,2.20069788918961,3.07058489494605,5.26386996024986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,5.01000841403897,0.482334873062221,5.36465229577342,99.5485865803411,-2286.30264594926,934838.978349555
"7830",2035,30,131.910879399186,2842.18943919918,44421.0643365478,"no","no",8357.062980791,2030.31770628933,21492.6854208829,25.1109483678648,3.19021862578081,5.38350369108461,30,41.9247247788117,1255.82159275382,2555.48720278514,"no","no",3780.64352526652,918.493435811129,112461.454873358,2.18476749535885,3.19021862578081,5.38350369108461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,5.0784690957392,0.452389019199264,5.23254552286369,113.420654514139,-2254.54363873713,946685.655500734
"7930",2036,31,147.220261107425,2855.41661455771,44821.3028022413,"no","no",8526.96603508568,1972.94764597328,21789.4560821374,25.4146227820914,3.26997444633731,5.50313742191936,31,43.5056586317913,1253.92044818863,2546.13254164932,"no","no",3860.87020523479,893.318297678643,114038.017171559,2.17728363939875,3.26997444633731,5.50313742191936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,5.12588857420457,0.452783579686909,5.23363303524797,115.107472786632,-2275.67095113558,972574.195561397
"8030",2037,32,99.8052820047144,2883.2202270993,45379.2388892864,"yes","no",9334.74286438956,2056.99903601993,22500.0506137658,25.9551682073822,3.42948608745031,5.54300113571834,32,42.171449655276,1253.67062162126,2544.74974764977,"no","no",4065.68956176121,895.913216978154,115642.731009098,2.17627660598838,3.42948608745031,5.54300113571834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,5.18579550371482,0.435543819559414,5.1396653720568,128.7283264555,-2275.57033118068,984000.118577057
