PROGRAM,ALTNAME,CONT,CUSTOMER,LAUNCHER,AWDATE,year,$/kg,AWDDATE,LADATE,LAUDATE,DEV,CONDAT,CONDATE,PLAN,NUM,PRIC,INC,TSAT,EACH,GROUNDSTAT,LAUNCH,INSUR,FIN,AWARD,CONTR,GTOMA,DRYMAS,EOLPO,ORBIT,GEO_SLOT,UHF_XPOND,L_XPOND,S_XPOND,C_XPOND,X_XPOND,KU_XPOND,KA_XPOND,TYPEPAYLOD,COVERAGE,LIFE,SER,CONFIG,REFERENCE,REFERENCE2
Nimiq 1,,LockMart,Telesat,Proton,97 Mar,1997,"$78,889",03/15/97,99 May,05/20/99,26 ,98 Jul,07/15/98,16 ,1 ,$129,$13,$142,$142,,$80,,,$222,FFP,"3,600","1,800","8,600",GEO,91.0ºW,,,,,,32,,32 Ku 120W,Canada,12.0,A2100,3-axis,,
Telkom 1,,LockMart,PT Telkom,Ariane 4,97 Mar,1997,"$107,692",03/15/97,99 Aug,08/12/99,29 ,99 Jan,01/15/99,22 ,1 ,,,$140,$140,,,,,$140,FFP,"2,763","1,300","4,000",GEO,108.0ºE,,,,36,,,,36 C band,Indonesia Indochina,15.0,A2100,3-axis,,
Thor 3,,HSC,Telenor,Delta 2,97 May,1997,"$105,714",05/15/97,98 Jun,06/11/98,13 ,97 Aug,08/15/97,3 ,1 ,$60,$14,$74,$74,,$50,$15,,$130,FFP,"1,467",700,"1,400",GEO,0.8ºW,,,,,,14,,14 Ku 47W DTH,Norway,11.5,HS-376HP,spinner,,
Eutelsat 36A,Eutelsat W4,AS,Eutelsat,Ariane,97 Nov,1997,"$62,257",11/15/97,00 May,05/24/00,30 ,99 Feb,02/15/99,15 ,1 ,,,$80,$80,,$77,,,$157,FFP,"3,190","1,285","6,100",GEO,36.1ºE,,,,,,24,,24 Ku,Eastern Europe,12.5,SB3000B2,3-axis,,
GE 05,AMC-5,AS,GE Americom,Ariane,97 Nov,1997,"$169,051",11/15/97,98 Oct,10/28/98,11 ,98 Oct,10/15/98,11 ,1 ,$130,,$130,$130,,,,,$130,FFP,"1,760",769,"3,150",GEO,79.0ºW,,,,,,16,,16Ku@55W,USA,12.0,SB 2000,3-axis,,
Bonum 1,Most 1,HSC,Bonum,Delta 2,97 Oct,1997,"$122,581",10/15/97,98 Nov,11/22/98,13 ,98 Nov,11/15/98,13 ,1 ,,,$76,$76,,$44,$12,$18,$150,FFP,"1,452",620,"1,400",GEO,56.0ºE,,,,,,8,,8 Ku 75W,,11.0,HS 376HP,spinner,,
Thuraya 1&2,,HSC,Etisalat,SeaL?Arian,97 Sep,1997,"$81,538",09/15/97,00 Oct,10/21/00,37 ,00 May,05/15/00,32 ,2 ,$385,$39,$424,$212,$225,$170,$59,$220,"$1,098",FFP,"5,250","2,600","11,490",GEO,44.1ºE,,17,,2,,,,17L/2C 17W 300b,Mid East,12.0,GEM-702,3-axis,,
Europsat 1B,,MMS,Eutelsat,Ariane 4,98,1998,"$66,667",,00 Jun,06/15/00,,00 Jun,,,1 ,$90,$10,$100,$100,,,,,,FFP,"3,000","1,500","6,000",GEO,031ºE,,,,,,36,,36 Ku 70W,Europe,15.0,ES 2000,3-axis,,
Galaxy 10R,,HSC,HCI,Ariane 42L,98,1998,"$53,333",,00 Jan,01/25/00,,99 Dec,12/15/99,,1 ,,,$104,$104,,$80,$28,,$212,FFP,"3,876","1,950","5,200",GEO,,,,,24,,28,,24C/28Ku,USA,12.0,HS 601HP,3-axis,,
Galaxy A,Galaxy 11,HSC,HCI,Delta 3,98,1998,"$53,333",,99 Dec,12/02/99,,99 Dec,12/15/99,179769313486232000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ,1 ,$104,,$104,$104,,$80,$28,,$212,FFP,"3,876","1,950","5,200",GEO,,,,,24,,24,,24 C/ 24 Ku,USA,12.0,HS 601HP,3-axis,,
