PROGRAM,ALTNAME,CONT,CUSTOMER,LAUNCHER,AWDATE,year,$/kg,AWDDATE,LADATE,LAUDATE,DEV,CONDAT,CONDATE,PLAN,NUM,PRIC,INC,TSAT,EACH,GROUNDSTAT,LAUNCH,INSUR,FIN,AWARD,CONTR,GTOMA,DRYMAS,EOLPO,ORBIT,GEO_SLOT,UHF_XPOND,L_XPOND,S_XPOND,C_XPOND,X_XPOND,KU_XPOND,KA_XPOND,TYPEPAYLOD,COVERAGE,LIFE,SER,CONFIG,REFERENCE,REFERENCE2
Galaxy 14,Galaxy 5R,Orbital,PanAmSat,Soyuz,01 Nov,2001,"$88,889",11/15/01,05 Aug,08/13/05,45 ,04 Sep,09/15/04,34 ,2 ,$145,$15,$160,$80,,,,,$160,FFP,"2,087",900,"2,640",GEO,125.0ºW,,,,24,,,,24 C-band 37W,USA,15.0,Star-2,3-axis,,
Bsat 2C,,Orbital,BroadcastSSC,Ariane,01 Oct,2001,"$112,150",10/15/01,03 Jun,06/11/03,20 ,,,,,,,$60,$60,,,,,$60,FFP,"1,275",535,"2,600",GEO,,,,,,,4,,4 Ku DBS,Japan,11.6,NovaStar,3-axis,,
Star One C1,SimonBoliv,Alcatel,Embratel,Ariane 5,01 Oct,2001,"$50,286",10/15/01,07 Nov,11/14/07,73 ,04 Jan,01/15/04,27 ,1 ,,,$88,$88,,$65,$42,,$190,FFP,"4,100","1,750","8,400",GEO,65.0ºW,,,,28,1,14,,28C/14Ku/1Xband,Brazil Argentina,15.0,SB3000B3,3-axis,,
Superbird 6,SB A2,BoeingSC,SCC Japan,Atlas IIAS,01 Sep,2001,"$67,705",09/15/01,04 Apr,04/16/04,31 ,03 Sep,09/15/03,24 ,1 ,,,$100,$100,,,,,$100,FFP,"3,072","1,477","4,750",GEO,,,,,,,23,4,23Ku/4Ka,Japan,13.5,BSS 601,3-axis,,
Galaxy 15,Galaxy 1RR,Orbital,PanAmSat,Ariane 5,02 Aug,2002,"$101,695",08/15/02,05 Oct,10/13/05,38 ,,,,1 ,,,$90,$90,,,,,$90,FFP,"2,033",885,"2,640",GEO,133.0ºW,,1,,24,,,,24 C & L-WAAS,USA,15.0,Star 2,3 axis,,
Hellasat 2,Intel KTV,Astrium,Hellas Sat,Ariane,02 Jul,2002,"$68,387",07/15/02,03 May,05/13/03,10 ,03 May,05/15/03,10 ,1 ,,,$106,$106,,,,,$106,FFP,"3,250","1,550",,GEO,39.0ºE,,,,,,,,"30Ku, L/S/C/X/Ka",Greece,15.0,ES 2000+,3 Axis,,
Telkom 2,,Orbital,PT Telkom,Ariane 5,02 Jul,2002,"$77,864",07/15/02,05 Nov,11/16/05,40 ,04 Jun,06/15/04,23 ,1 ,,,$70,$70,,$60,$20,,$150,FFP,"1,975",899,"2,000",GEO,118.0ºE,,,,24,,,,24 C-band,Indonesia Indochina,15.0,Star-2,3-Axis,,
AMC 15/16,GE 15/16,LockMart,SES Americom,Proton M,02 May,2002,"$46,512",05/15/02,04 Oct,10/14/04,29 ,N/A,,,2 ,,,$200,$100,,,,,$200,FFP,"4,200","2,150",,GEO,105.0ºW,,,,,,24,12,24Ku/12Ka,USA,15.0,A2100AX,3-axis,,
XM 4,XM Radio,BoeingSS,XM Radio,Sea Launch,03 Aug,2003,"$47,992",08/15/03,06 Oct,10/30/06,39 ,05 Dec,12/15/05,28 ,1 ,$128,$19,$147,$147,,$59,$35,$18,$259,FFP,"5,233","3,063","16,300",GEO,115.0ºW,,,2,,,,,DARS S-band,USA,15.0,BS 702,3-Axis,,
OPTUS D1/2,,Orbital,Optus Networ,ArianSoyuz,03 Dec,2003,"$76,000",12/15/03,06 Oct,10/13/06,34 ,05 Dec,12/15/05,24 ,2 ,,,$189,$95,,,,,$189,FFP,"2,350","1,250","4,350",GEO,160.0ºE,,,,,,24,,24 Ku,Australia New Zealand,15.0,Star 2.4,3-axis,,
Hotbird 7A,Eurobird9A,Alcatel,Eutelsat,Ariane5ECA,03 Jul,2003,"$54,598",07/15/03,06 Mar,03/11/06,32 ,06 Feb,02/15/06,31 ,1 ,,,$95,$95,,$59,,,$154,FFP,"4,100","1,740","10,000",GEO,9.0ºE,,,,,,38,,38 Ku,Europe,15.0,SB3000B3,3 axis,,
Koreasat 5,Mugungwha,Alcatel,KT Corp KADD,Zenit3 SL,03 Jun,2003,"$40,359",06/15/03,06 Aug,08/22/06,38 ,06 Jan,01/15/06,31 ,1 ,,,$90,$90,$13,$70,,,$173,,"4,465","2,230","8,600",GEO,113.0ºE,,,,,,32,4,32 Ku/C/4SHF,S Korea,15.0,SB-4000,3-Axis,,
Rascom QAF,,Alcatel,Rascom,Ariane,03 Jun,2003,"$93,190",06/15/03,07 Dec,12/21/07,54 ,06 Mar,03/15/06,33 ,1 ,,,$130,$130,$20,$100,$50,$65,$365,FFP,"3,050","1,395",,GEO,,,,,8,,12,,8C & 12 Ku-band,Africa,15.0,SB4000B3,3-axis,,
MEASAT 3,,BoeingSS,BinariangSat,Proton-MBM,03 Mar,2003,"$51,630",03/15/03,06 Dec,12/11/06,45 ,05 Jun,06/15/05,27 ,1 ,,,$133,$133,,,,,$133,FFP,"4,900","2,576","9,800",GEO,91.5ºE,,,,24,,24,,24C&24Ku 120W,Maylasia India Indochina,15.0,HS-601HP,3-axis,,
DirecTV 8,DBS 2R,SS/Loral,DirecTV,Proton M,03 Oct,2003,"$53,333",10/15/03,05 May,05/22/05,19 ,05 Dec,12/15/05,26 ,1 ,,,$80,$80,,,,,$80,FFP,"3,800","1,500","8,200",GEO,101.0ºW,,,,,,32,4,32Ku/4Ka DBS,USA,15.0,FS 1300,3 axis,,
DirecTV 9S,,SS/Loral,DirecTV,Ariane 5,03 Oct,2003,"$59,222",10/15/03,06 Oct,10/13/06,36 ,05 Jun,06/15/05,20 ,1 ,,,$140,$140,,,,,$140,FFP,"5,535","2,364","11,820",GEO,101.1ºW,,,,,,52,2,52Ku/2Ka 27Spot,USA,15.0,FS 1300,3 Axis,,
Arabsat 4AB,4B=BADR 4,Astrium,Arabsat,Proton M,03 Sep,2003,"$72,848",09/15/03,06 Feb,02/28/06,29 ,05 Dec,12/15/05,27 ,2 ,,,$220,$110,,$140,$90,,$450,FFP,"3,330","1,510","5,700",GEO,26.0ºE,,,,24,,16,,24C&16Ku/28Ku,Mid East N Africa,15.0,ES2000+,3-axis,,
Hotbird 13B,Eutelsat 8,Astrium,Eutelsat,ILS Proton,03 Sep,2003,"$65,106",09/15/03,06 Aug,08/04/06,35 ,06 Jan,01/15/06,28 ,1 ,,,$153,$153,,$90,,,$243,FFP,"4,875","2,350","14,000",GEO,13.0ºE,,,,,,64,,64 Ku,Europe,15.0,E3000S,3 axis,,
JCSAT 10,,LockMart,JSAT,Ariane 5,04 Apr,2004,"$53,821",04/15/04,06 Aug,08/11/06,28 ,06,,,1 ,,,$100,$100,,,,,$100,FFP,"4,500","1,858",,GEO,,,,,12,,30,,12 C & 30 Ku,Japan,12.0,A2100AX,3-axis,,
Echostar 11,,SS/Loral,Echostar,Sea Launch,04 Dec,2004,"$50,000",12/15/04,08 Jul,07/15/08,43 ,07 Jan,01/15/07,25 ,1 ,,,,$120,,,,,$120,FFP,"4,500","2,400","17,000",GEO,110.0ºW,,,,,,19,,19 ku Hi Power,USA,15.0,LS-1300,3-axis,,
Galaxy 16,Galaxy 4RR,SS/Loral,PanAmSat,Sea Launch,04 Feb,2004,"$53,846",02/15/04,06 Jun,06/18/06,28 ,05 Dec,12/15/05,22 ,1 ,,,$105,$105,,$95,,,$180,FFP,"4,700","1,950","10,000",GEO,99.0ºW,,,,24,,24,,24C&24Ku-band,USA,15.0,FS 1300,3-axis,,
Chinasat 9,ZX 9,Alcatel,China SatCom,LM-3B,04 Jun,2004,"$58,222",06/15/04,08 Jun,06/09/08,48 ,06 Dec,12/15/06,30 ,1 ,,,$131,$131,,,,,$131,FFP,"4,500","2,250","11,000",GEO,92.2ºE,,,,,,22,,22 Ku DBS,China E Asia,15.0,SB4000C2,3 axis,,
Galaxy 17,Galaxy 11R,Alcatel,PanAmSat,Ariane 5,04 Jun,2004,"$38,000",06/15/04,07 May,05/04/07,35 ,06 Jun,06/15/06,24 ,1 ,,,$76,$76,,,,,$76,FFP,"4,100","2,000","9,500",GEO,91.0ºW,,,,24,,24,,24 C & 24 Ku,USA,15.0,SB3000B3,3 Axis,,
DIRECTV 10+,HDTV,BoeingSS,DIRECTV,SeaLProton,04 Sep,2004,"$53,448",09/15/04,07 Jul,07/07/07,34 ,07 Jan,01/15/07,28 ,3 ,,,$465,$155,,$260,$160,,$885,FFP,"6,080","2,900","18,000",GEO,101ºW,,,,,,,32,32Ka-55spotDBS,USA,15.0,BS-702,3 axis,,
MUOS,,LockMart,US Navy,Atlas,04 Sep,2004,"$262,067",09/24/04,10 Sep,02/24/12,89 ,08 Sep,09/15/08,48 ,2 ,,,"$2,100",$999,,,,,"$2,100",,"6,740","3,812",,GEO,75E,,,,,,,,UHF Navy Mobile,Global,15.0,A2100,3-axis,http://www.deagel.com/C3ISTAR-Satellites/MUOS_a000292001.aspx,With options 5 would cost $3.26 Billion
Terrestar 1,,SS/Loral,Terrestar,Ariane 5,05 Apr,2005,"$69,444",04/15/05,09 Jul,07/01/09,51 ,07 Oct,10/15/07,30 ,1 ,,,$250,$250,,,,,$250,FFP,"6,910","3,600","13,300",GEO,111ºW,,,295,,,,,2 GHz 295 beams,USA,15.0,FS-1300,3-axis,,
Horizons 2,,Orbital,PanAmSatJSAT,Sea Launch,05 Aug,2005,"$62,000",08/15/05,07 Dec,12/21/07,28 ,07 Jun,06/15/07,22 ,1 ,,,$62,$62,,$50,$28,,$140,FFP,"2,300","1,000","3,700",GEO,74.0ºW,,,,,,20,,20 Ku-band,,15.0,Star,3 Axis,,
GALAXY 18,,SS/Loral,PanAmSat,Sea launch,05 Feb,2005,"$44,737",02/15/05,08 May,05/21/08,39 ,07 Apr,04/15/07,26 ,1 ,,,,$85,,,,,$85,FFP,"4,642","1,900","10,000",GEO,123.0ºW,,,,24,,24,,24C&24Ku-band,USA,15.0,LS-1300,3 Axis,,
Star One C2,,Alcatel,Star One,Ariane 5,05 Jan,2005,"$48,571",01/15/05,08 Apr,04/21/08,39 ,07 Jan,01/15/07,24 ,1 ,,,$85,$85,,$65,$45,,$195,FFP,"4,100","1,750","8,400",GEO,70.0ºW,,,,28,1,16,,28C/16Ku/1X,Brazil Argentina,15.0,3000B3,3-axis,,
Thaicom 5,,Alcatel,Shin Sat,Ariane,05 Jun,2005,"$81,967",06/15/05,06 May,05/27/06,11 ,06 Jun,06/15/06,12 ,1 ,,,$100,$100,,,,,$100,FFP,"2,766","1,220","5,000",GEO,78.5ºE,,,,25,,14,,25 C/14 Ku DTH,Thailand,12.0,SB3000A,3 axis,,
XM 5,spare,SS/L,XM Radio,Sea Launch,05 Jun,2005,"$51,429",06/15/05,09 Jun,11/14/10,65 ,08 Jun,06/15/08,36 ,1 ,$123,$21,$144,$144,,,,$19,$163,FFP,"5,820","2,800","19,000",GEO,95.5ºW,,,2,,,,,3 S-band DARS,USA,15.0,1300,3-axis,,
Measat 1R,Measat 3A,Orbital,MeasatSatSys,Zenit 3-SL,05 Nov,2005,"$63,636",11/15/05,09 Jun,06/21/09,43 ,07 Sep,09/15/07,22 ,1 ,,,$70,$70,,$44,,,$114,FFP,"2,417","1,100","3,600",GEO,91.4ºE,,,,12,,12,,12C/12 Ku-band,Indochina,15.0,Star 2,3 Axis,,
Satcom Bw,Germilsat,Astrium,German DM,Ariane,05 Sep,2005,"$100,000",09/15/05,09 Nov,11/15/09,50 ,08 Dec,12/15/08,39 ,2 ,,,$240,$120,,$139,$98,,$477,FFP,"2,500","1,200",,GEO,,,,,,,,,X/UHF lease,USA,17.5,Spacebus,3 axis,,
Telstar 11N,,SS/Loral,Loral Skynet,Sea Launch,05 Sep,2005,"$50,000",09/15/05,09 Feb,02/27/09,41 ,07 Sep,09/15/07,24 ,1 ,,,$100,$100,,,,,$100,FFP,"4,012","2,000","15,000",GEO,37.5ºW,,,,,,39,,39 Ku-band,Transoceanic,15.0,L-1300,3-axis,,
THOR 5,"Thor 2R,2B",Orbital,Telenor,Proton ILS,05 Sep,2005,"$86,364",09/15/05,08 Feb,02/11/08,29 ,07 Nov,11/15/07,26 ,1 ,,,,$95,,$90,$32,,$217,FFP,"2,450","1,100","3,800",GEO,0.8ºW,,,,,,24,,24 Ku-band DTH,Norway,15.0,Star,3 Axis,,
Terrestar 2,EchoStar 21,SS/Loral,TerrastarNet,Proton ILS,06 Aug,2006,"$55,556",08/15/06,16 Jan,01/15/16,113 ,09 Aug,08/15/09,36 ,1 ,,,$200,$200,,,,,,FFP,"6,910","3,600","13,600",GEO,111ºW,,,,,,,,S-band MSS,USA,15.0,FS-1300,3 axis,,
Eutelsat 36B,Eutelsat W7,Alcatel,Eutelsat,ILS Proton,06 Dec,2006,"$58,929",12/15/06,09 Nov,11/25/09,35 ,09 Apr,04/15/09,28 ,,,,$165,$165,,$90,,,$255,,"5,600","2,800","12,000",GEO,036ºE,,,,,,70,,70 Ku-band,Europe,15.0,4000 C4,3 axis,,
WGS 4,Gapfiller,BSS,USAF,Delta 4M+,06 Feb,2006,"$49,333",02/15/06,,,,,,,,,,$148,$148,,,,,$148,,"5,940","3,000","11,000",GEO,,,,,,8,,10,Wideband X & K,,,BS 601,3 axis,,
INTELSAT 11,,Orbital,INTELSAT,Ariane 5GS,06 Jan,2006,"$86,000",01/15/06,07 Oct,10/05/07,21 ,,,,1 ,,,$86,$86,,$63,$18,,$166,,"2,500","1,000","4,500",GEO,43.0ºW,,,,16,,18,,16 C & 18 Ku,Europe Africa spot,15.0,Star,3-Axis,,
MSV,Skyterra,BoeingSS,Skyterra MSV,ProtonSeaL,06 Jan,2006,"$66,708",01/15/06,10 Aug,08/31/10,56 ,09 Apr,04/15/09,39 ,3 ,,,$650,$217,$50,$175,$108,$12,$995,FFP,"5,390","3,253","12,089",GEO,101W107W,,88,,,,,,"L-band 430 beam, 26W SSPA",USA,15.0,BS 702,3 axis,"FCC Application for Modification to License for MSV-1, 17 Jan 2007",3rd satellite canceled Jan 2010 price reduced about $220M
Sirius FM-5,XM-5 GEO,SS/Loral,Sirius Radio,Proton,06 Jun,2006,"$51,000",06/15/06,09 Jun,06/30/09,37 ,08 Dec,12/15/08,30 ,1 ,,,$130,$130,,$78,$52,,$260,FFP,"5,820","2,549","16,000",GEO,95.5ºW,,,2,,,,,S-band DARS 9M,USA,15.0,FS-1300,3 Axis,,
Asiasat 5,,SS/L,Asiasat,Proton M,06 May,2006,"$63,333",05/15/06,09 Aug,08/12/09,39 ,08 May,05/15/08,24 ,1 ,,,$95,$95,,$80,$40,,$215,FFP,"3,500","1,500","12,400",GEO,100.5ºE,,,,26,,14,,26C/14Ku-band,E Asia Pacific,15.0,FS 1300,3 axis,,
Hotbird 13C,Eutelsat 9,Astrium,Eutelsat,Ariane5ECA,06 May,2006,"$64,790",05/15/06,08 Sep,12/20/08,31 ,08 Sep,09/15/08,28 ,1 ,,,$145,$145,,$71,,,$216,FFP,"4,880","2,238","14,000",GEO,13.0ºE,,,,,,64,,64 Ku-band,Europe,15.0,E3000,3 Axis,,
Hylas 1,,Astrium,ESA/Avanti,Ariane 5,06 May,2006,"$97,778",05/15/06,10 Nov,11/26/10,54 ,08 Sep,09/15/08,28 ,1 ,,,$110,$110,$25,$95,$30,,$260,,"2,570","1,125","3,500",GEO,033.5ºW,,,,,,2,6,6Ka/2Ku-band HD,Europe,15.0,I2KAntri,3 Axis,,
Vinasat 1,,LockMart,Vietnam PTG,Ariane 5,06 May,2006,"$61,538",05/15/06,08 Apr,04/21/08,23 ,08 May,05/15/08,24 ,1 ,,,$80,$80,$100,$55,$33,,$268,FFP,"2,600","1,300",,GEO,132.0ºE,,,,8,,12,,8 C/12 Ku band,Venezuala,15.0,A2100A,3 Axis,,
NuSTAR,,Orbital,NASA,Pegasus XL,07,2007,"$100,000",,11 Sep,09/15/11,,11 Sep,09/15/11,,1 ,,,$36,$36,,,,,$36,,360,360,600,LEO,,,,,,,,,X-ray detector,,2.0,LEOStar2,3 axis,,
Sirius FM6,HEO 5,SS/Loral,Sirius Sat,Proton,07 Aug,2007,"$62,755",08/15/07,13 Oct,10/26/13,74 ,10 Aug,08/15/10,36 ,1 ,,,$169,$169,,,,,$169,loan,"5,984","2,693","20,000",GEO,116.15ºW,,,2,,X,,,S-band DARS with X-band,CONUS,15.0,LS-1300,3 Axis,"""Dazzling Proton-M successfully delivers Sirius FM-6 DRS to Orbit"" AmericaSpace","by Ben Evans, 26 Oct 2013 web post"
Yahsat 1AB,,TAStrium,UAE,ArianProto,07 Aug,2007,"$72,414",08/15/07,11 Apr,04/22/11,44 ,10 Sep,09/15/10,37 ,2 ,$420,,$420,$210,$200,$310,$88,$642,"$1,660",,"5,935","2,900","14,000",GEO,052.5ºE,,,,14,,25,45,14C/25Ku & 21+25Ka (Y1B),MidEast Africa 61 spots,15.0,E3000,3-Axis,"YahSat Service Partner Presenation July 2009 Version 4, YahClick Broadband Pres",
S2M 1,,SS/Loral,S2M,Proton,07 Dec,2007,"$56,333",12/15/07,10 Dec,12/15/10,36 ,10 Dec,12/15/10,36 ,1 ,,,$169,$169,,,,,$169,,"6,000","3,000","20,000",GEO,,,,,,,,,S-band N Africa,Mid East,15.0,FS-1300,3-Axis,,
WGS 5,,BoeingSS,USAF,Delta 4H,07 Dec,2007,"$76,667",12/15/07,,,,,,,1 ,,,$230,$230,,,,,,,"5,940","3,000","11,000",GEO,,,,,,8,,10,Wideband X & Ka,,,,3-Axis,,
WGS 6,,BoeingSS,USAF,Delta 4H,07 Dec,2007,"$78,000",12/15/07,13,,,13,,,1 ,,,$234,$234,$200,$296,,,$824,,"5,940","3,000","11,000",GEO,,,,,,8,,10,X & Ka-band,,,BS-702,3-Axis,,
Echostar 14,XIV,SS/Loral,Echostar,ILS Proton,07 Jan,2007,"$40,956",01/15/07,10 Mar,03/20/10,39 ,,,,1 ,,,$132,$132,,,,,,,"6,379","3,223","19,900",GEO,119ºW,,,,,,99,X,reverse band RDBS 103Ku,USA,25.0,FS 1300,3 axis,"Space Business Review, Milbank, June 2010",
INTELSAT 14,IRISPAS1RR,SS/Loral,INTELSAT,Proton,07 Jan,2007,"$71,429",01/15/07,09 Nov,11/23/09,35 ,09 Jan,01/15/09,24 ,1 ,,,$200,$200,,$90,$35,,$325,,"5,663","2,800","17,000",GEO,045ºWest,,,,40,,22,,40C/22Ku-band,,15.0,FS-1300,3 axis,,
Nimiq 5,,SS/Loral,Telesat,Proton,07 Jan,2007,"$60,870",01/15/07,09 Sep,09/17/09,32 ,09 Jun,06/15/09,29 ,1 ,,,$140,$140,,,,,,,"4,750","2,300","17,000",GEO,072.7ºW,,,,,,32,,32 Ku-band DBS,Canada & USA,15.0,FS 1300,3 axis,,
Protostar I,Intelsat 25,SS/Loral,Protostar,Ariane 5,07 Jan,2007,"$50,169",01/15/07,08 Jul,07/07/08,18 ,08 Jan,01/15/08,12 ,1 ,,,$89,$89,$5,$77,$26,$45,$251,,"4,191","1,774","11,000",GEO,98.5ºE,,,,36,,16,,16Ku125W/36C37W,India Indochina Indonesia,15.0,FS1300,3-Axis,Refurbished Chinastar8,
AMOS 4,,IAI,Spacecom,Zenit 3SLB,07 Jul,2007,"$54,585",07/15/07,12 Dec,12/15/12,54 ,12 Jan,01/15/12,54 ,1 ,$100,,$100,$100,$50,$40,$36,$32,$258,,"4,260","1,832","4,000",GEO,064ºE,,,,,,8,4,8 Ku & 4 Ka,Mid East,12.0,,3-Axis,,
Palapa D1,,ThalesAS,Indosat,LM-3B,07 Jun,2007,"$102,564",06/15/07,09 Aug,08/31/09,27 ,09 Sep,09/15/09,27 ,1 ,,,$200,$200,,,,,$200,,"4,100","1,950","6,000",GEO,113.0ºE,,,,35,,5,,35 C/5Ku band,Indonesia,15.0,SB4000B3,3 Axis,,
INTELSAT 15,IS-15,Orbital,INTELSAT,Proton,07 Mar,2007,"$73,333",03/15/07,09 Dec,12/01/09,33 ,09 Nov,11/15/09,32 ,1 ,,,$88,$88,,$64,$18,,$170,,"2,484","1,200","4,600",GEO,085ºEast,,,,,,22,,22 Ku-band,Middle East,15.0,Star 2.4,3 axis,,
Optus D3,,Orbital,OptuSingTel,Ariane 5,07 Mar,2007,"$76,000",03/15/07,09 Aug,08/21/09,29 ,09 Mar,03/15/09,24 ,1 ,,,$95,$95,,,,,,FFP,"2,500","1,250","4,350",GEO,156.0ºE,,,,,,32,,32 or 24 Ku,Australia New Zealand,15.0,Star 2.4,3 Axis,,
Intelsat 16,IS16PAS11R,Orbital,INTELSAT,Proton,07 May,2007,"$83,810",05/15/07,10 Feb,02/11/10,33 ,09 Dec,12/15/09,31 ,1 ,,,$88,$88,,$61,$18,,$167,,"2,069","1,050","3,700",GEO,058ºWest,,,,,,24,,24 Ku SA DTH,,15.0,Star 2.4,3 Axis,,
NSS 12,,SS/Loral,SES NewSkies,ILS Proton,07 May,2007,"$77,193",05/15/07,09 Oct,10/28/09,30 ,09 Jul,07/15/09,26 ,1 ,,,$220,$220,,,,,$220,,"5,840","2,850","22,000",GEO,057º E,,,,40,,48,,40C/48Ku-band,Mid East E Africa Europe,15.0,FS1300,3 Axis,,
Alphasat IXL,Europasat?,TAStrium,Inmarsat,Ariane,07 Nov,2007,"$64,000",11/15/07,13 Aug,08/15/13,69 ,12 Jan,01/15/12,50 ,1 ,,,$200,$200,,$140,$46,,$386,,"6,650","3,125","12,000",GEO,025ºE,,750,,,,,,750 L-band ch,,15.0,Alphabus,3-Axis,"""Astrium ships world's most sophisticated communications satellite"" 06/17/13",Press Release
INTELSAT 18,IS-18,Orbital,INTELSAT,Sea Launch,08 Aug,2008,"$65,333",08/15/08,11 Oct,10/05/11,38 ,11 Jul,07/15/11,35 ,,,,$98,$98,,$80,$21,,$199,,"3,200","1,500","4,900",GEO,180ºEast,,,,24,,12,,24 C/12 Ku,,15.0,Star 2.4,3 Axis,,
INTELSAT 17,IS-17,SS/Loral,INTELSAT,Ariane5ECA,08 Dec,2008,"$53,489",12/01/08,10 Nov,11/26/10,24 ,10 Dec,12/15/10,24 ,1 ,,,$128,$128,,$145,$33,,$306,,"5,540","2,393","24,000",GEO,066ºEast,,,,28,,46,,28C & 46Ku-band,,15.0,SS/L1300,3 axis,,
ST-2,,MELCO,SingTel,Ariane 5,08 Dec,2008,"$66,465",12/15/08,11 May,05/20/11,29 ,10 Dec,12/15/10,24 ,,$132,,$132,$132,,$100,$34,,$266,,"5,090","1,986","11,000",GEO,088ºE,,,,10,,41,,L/10C/41Ku-band,SE Asia India Indochina,15.0,DS2000,3-axis,"""Melso-built ST-2 Remains On Schedule Despite Quake"" Space News 21 Mar 11 p.6","Spaceflight Vol 53, Aug 2011, Satellite Digest 463"
Eutelsat W3B,W2B (?),ThalesAS,Eutelsat,Long March,08 Feb,2008,"$43,462",02/15/08,10 Jun,06/15/10,28 ,10 Jun,06/15/10,28 ,1 ,,,$113,$113,,$60,$26,,$199,FFP,"5,400","2,600","12,000",GEO,007ºE,,,,,,53,3,53 Ku/3 Ka,Europe,15.0,4000C3,3 Axis,,
SES 04,NSS 14,SS/Loral,SES NewSkies,Proton M,08 Feb,2008,"$79,108",02/15/08,12 Feb,02/15/12,48 ,10 Dec,12/15/10,34 ,1 ,,,$220,$220,,,,,$220,,"6,180","2,781","20,000",GEO,022ºW,,,,52,,72,,52C & 72 Ku,Transoceanic,15.0,FS 1300,3 Axis,"""Long-delayed SES-4 Sat Launched Successfully"", Space News 20 Feb 12 p 9",
Viasat-1,,SS/Loral,Viasat,Proton M,08 Jan,2008,"$85,532",01/15/08,11 Oct,10/20/11,46 ,11 Jan,01/15/11,36 ,1 ,$256,$27,$282,$282,$95,$90,$32,,$501,,"6,740","3,297","15,700",GEO,115ºW,,,,,,,,72 Ka spots 140 Gbps,63 USA & 9 Canada spots,15.0,FS-1300,3-Axis,"""Launch Delayed as ViaSat-1 Damaged in Factory Mishap"" Space News 17 Jan 11 p.3","""ISL Proton Succesful launch of ViaSat-1"", Talksatellite 21 Oct 2011"
RascomStar,QAF1R,TAS,RascomStarQA,Ariane 5,08 Jul,2008,"$93,190",07/15/08,10 Dec,08/04/10,29 ,09 Dec,12/15/09,17 ,1 ,,,$130,$130,$53,$93,$33,,$309,FFP,"3,160","1,395","6,400",GEO,002.8ºE,,,,8,,12,,8C & 12 Ku-band,Africa,15.0,SB4000B3,3-axis,Space Digest #454,
Nilesat 201,,ThalesAS,Nilesat Co.,Ariane 5,08 May,2008,"$78,125",05/15/08,10 Feb,08/04/10,27 ,10 Feb,02/15/10,21 ,1 ,$88,,$125,$125,,,,,,,"3,200","1,600","5,700",GEO,007ºW,,,,,,24,4,24Ku & 4Ka-band,Egypt N. Africa,15.0,4000B2,3 axis,Satellite Digest #454,
Quetzsat-1,,SS/Loral,SES Echostar,Proton ILS,08 Nov,2008,"$73,504",11/15/08,11 Sep,09/29/11,34 ,11 Jun,06/15/11,31 ,1 ,,,$172,$172,,,,,$172,,"5,514","2,340","16,800",GEO,077ºW,,,,,,32,,32 Ku-DBS,Mexico CONUS,15.0,FS 1300,3 Axis,"""Proton Rocket Delivers SES's QuetzSat-1 Satellite to Orbit"" Space News 3 Oct 11",
Intelsat 22,IS-22,Boeing,INTELSAT,Proton,09 Apr,2009,"$53,066",04/15/09,12 Mar,03/25/12,36 ,12 Apr,04/15/12,36 ,1 ,,,$148,$148,,$100,$30,,$278,,"6,199","2,789","10,000",GEO,072ºEast,,,,48,,24,,48C/24Ku/18UHF,,15.0,BS 702B,3 axis,"Supersynchronous orbit 64,000 km",
Hylas 2,,Orbital,Avanti,Ariane 5,09 Dec,2009,"$65,772",12/21/09,12 AUG,08/02/12,33 ,12 Jan,1/15/12,24 ,1 ,,,$98,$98,,$48,$15,,$161,,"3,311","1,490","5,000",GEO,31ºE,,,,,,,24,24Ka@230W,Africa/E Europe/Mid  East,15.0,Star 2.4,3 Axis,,
Intelsat 23,IS-23,Orbital,Intelsat,Proton,09 Dec,2009,"$74,627",12/17/09,12 Oct,10/14/12,34 ,12 Dec,12/15/12,36 ,1 ,$70,$20,$90,$90,,$80,$20,,$190,,"2,680","1,206","4,800",GEO,53ºW,,,,24,,15,,24C/15 Ku-band,Atlantic Ocean Region,15.0,Star 2.4,3 Axis,www.orbital.com/satellitesSpace/Communications/Intelsat23/,"""Orbital Awarded New Contract for IS-23 Satellite by Intelsat"" 17 Dec 09 Press"
Nimiq 6,,SS/Loral,Telesat,Proton,09 Dec,2009,"$45,902",12/30/09,12 Jun,05/18/12,29 ,12 Jun,06/15/12,30 ,,,,$98,$98,,$86,$22,,$206,FFP,"4,745","2,135","15,000",GEO,91ºW,,,,,,32,,32 Ku-band DBS,Canada,15.0,FS 1300,3 Axis,www.ssloral.com/html/pressreleases/pr20091230.html,
ARABSAT 6B,BADR 7,TAStrium,ARABSAT,Ariane 5,09 Feb,2009,"$66,667",02/15/09,15 Nov,11/10/15,81 ,11 Jul,07/15/11,29 ,1 ,,,$200,$200,,$150,$35,$15,$400,,"5,798","3,000","11,500",GEO,026ºE,,,,,,24,27,24 Ku/24Ka spot/3Ka-band,Mid East N Africa,15.0,E3000,3-axis,"""Arabsat Boosting Ka-band Capacity at Core Orbital Slot"", Space News 22 Jan 13",
Telkom 3,,NPO RESH,PT Telkom,Proton M,09 Jan,2009,"$62,500",01/15/09,12 Aug,08/06/12,44 ,11 Jun,06/15/11,29 ,1 ,,,$100,$100,,$74,$26,,$200,,,"1,600","5,600",GEO,,,,,32,,10,,32C/10Ku-band,Indonesia Indochina,15.0,Expr100H,3 Axis,,
